"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0400043US01","Alabama -- Rural","1989361","20980"
"0400043US02","Alaska -- Rural","253619","6807"
"0400043US04","Arizona -- Rural","715827","18812"
"0400043US05","Arkansas -- Rural","1287813","17843"
"0400043US06","California -- Rural","1963836","35512"
"0400043US08","Colorado -- Rural","790267","18151"
"0400043US09","Connecticut -- Rural","436946","10998"
"0400043US10","Delaware -- Rural","170480","9467"
"0400043US12","Florida -- Rural","1903316","36006"
"0400043US13","Georgia -- Rural","2492938","29450"
"0400043US15","Hawaii -- Rural","112417","7660"
"0400043US16","Idaho -- Rural","506829","14323"
"0400043US17","Illinois -- Rural","1463970","20450"
"0400043US18","Indiana -- Rural","1842431","21071"
"0400043US19","Iowa -- Rural","1115883","17976"
"0400043US20","Kansas -- Rural","737487","17467"
"0400043US21","Kentucky -- Rural","1825187","17622"
"0400043US22","Louisiana -- Rural","1261980","17959"
"0400043US23","Maine -- Rural","817043","11600"
"0400043US24","Maryland -- Rural","777098","17840"
"0400043US25","Massachusetts -- Rural","550237","16995"
"0400043US26","Michigan -- Rural","2525329","24278"
"0400043US27","Minnesota -- Rural","1463652","25334"
"0400043US28","Mississippi -- Rural","1497193","20579"
"0400043US29","Missouri -- Rural","1787631","22400"
"0400043US30","Montana -- Rural","472872","8521"
"0400043US31","Nebraska -- Rural","489043","12890"
"0400043US32","Nevada -- Rural","173535","9359"
"0400043US33","New Hampshire -- Rural","547006","11689"
"0400043US34","New Jersey -- Rural","465772","15745"
"0400043US35","New Mexico -- Rural","468013","14882"
"0400043US36","New York -- Rural","2330572","26104"
"0400043US37","North Carolina -- Rural","3393134","30190"
"0400043US38","North Dakota -- Rural","309886","7838"
"0400043US39","Ohio -- Rural","2559067","21345"
"0400043US40","Oklahoma -- Rural","1304736","17761"
"0400043US41","Oregon -- Rural","761086","16521"
"0400043US42","Pennsylvania -- Rural","2657343","25788"
"0400043US44","Rhode Island -- Rural","102050","6922"
"0400043US45","South Carolina -- Rural","1655760","23918"
"0400043US46","South Dakota -- Rural","378405","7956"
"0400043US47","Tennessee -- Rural","2235467","20432"
"0400043US48","Texas -- Rural","4452952","42368"
"0400043US49","Utah -- Rural","323462","10693"
"0400043US50","Vermont -- Rural","382206","7572"
"0400043US51","Virginia -- Rural","2038228","16883"
"0400043US53","Washington -- Rural","1170726","22436"
"0400043US54","West Virginia -- Rural","919166","12574"
"0400043US55","Wisconsin -- Rural","1737322","23720"
"0400043US56","Wyoming -- Rural","198846","7586"
"0400043US72","Puerto Rico -- Rural","200648","11332"
