"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0400043US01","Alabama -- Rural","2031467","24691"
"0400043US02","Alaska -- Rural","256553","6231"
"0400043US04","Arizona -- Rural","796358","20087"
"0400043US05","Arkansas -- Rural","1306169","18016"
"0400043US06","California -- Rural","2127502","38006"
"0400043US08","Colorado -- Rural","894134","20140"
"0400043US09","Connecticut -- Rural","413353","10782"
"0400043US10","Delaware -- Rural","174663","9911"
"0400043US12","Florida -- Rural","2179607","40551"
"0400043US13","Georgia -- Rural","2609784","32431"
"0400043US15","Hawaii -- Rural","116430","8258"
"0400043US16","Idaho -- Rural","538833","17033"
"0400043US17","Illinois -- Rural","1443640","22866"
"0400043US18","Indiana -- Rural","1857819","24303"
"0400043US19","Iowa -- Rural","1127638","20069"
"0400043US20","Kansas -- Rural","765689","16034"
"0400043US21","Kentucky -- Rural","1824558","19228"
"0400043US22","Louisiana -- Rural","1258390","23533"
"0400043US23","Maine -- Rural","818909","10730"
"0400043US24","Maryland -- Rural","784488","18139"
"0400043US25","Massachusetts -- Rural","556231","15764"
"0400043US26","Michigan -- Rural","2568905","25457"
"0400043US27","Minnesota -- Rural","1509425","27813"
"0400043US28","Mississippi -- Rural","1496351","17670"
"0400043US29","Missouri -- Rural","1803448","24680"
"0400043US30","Montana -- Rural","485612","11046"
"0400043US31","Nebraska -- Rural","524875","12696"
"0400043US32","Nevada -- Rural","197243","10030"
"0400043US33","New Hampshire -- Rural","544570","10856"
"0400043US34","New Jersey -- Rural","460301","13880"
"0400043US35","New Mexico -- Rural","470541","14967"
"0400043US36","New York -- Rural","2312127","28073"
"0400043US37","North Carolina -- Rural","3446673","32584"
"0400043US38","North Dakota -- Rural","315761","8657"
"0400043US39","Ohio -- Rural","2568492","22389"
"0400043US40","Oklahoma -- Rural","1338505","16327"
"0400043US41","Oregon -- Rural","790900","19258"
"0400043US42","Pennsylvania -- Rural","2705979","27258"
"0400043US44","Rhode Island -- Rural","98617","6875"
"0400043US45","South Carolina -- Rural","1710871","24006"
"0400043US46","South Dakota -- Rural","383981","9134"
"0400043US47","Tennessee -- Rural","2311215","24737"
"0400043US48","Texas -- Rural","4901940","60295"
"0400043US49","Utah -- Rural","377344","15183"
"0400043US50","Vermont -- Rural","379252","6952"
"0400043US51","Virginia -- Rural","2061492","22258"
"0400043US53","Washington -- Rural","1226781","23858"
"0400043US54","West Virginia -- Rural","895181","14906"
"0400043US55","Wisconsin -- Rural","1779718","24084"
"0400043US56","Wyoming -- Rural","214332","6502"
"0400043US72","Puerto Rico -- Rural","169105","10999"
