CATEGORY,LINEOFBUS,,,
ATTRACTIONS - RECREATION ,AMUSEMENT PLACES ,,,
ATTRACTIONS - RECREATION ,ART AND MUSEUMS ,,,
ATTRACTIONS - RECREATION ,BARS - CLUBS ,,,
ATTRACTIONS - RECREATION ,BOATING ,,,
ATTRACTIONS - RECREATION ,DANCE AND THEATER ,,,
ATTRACTIONS - RECREATION ,GOLF ,,,
ATTRACTIONS - RECREATION ,HEALTH CLUBS AND SPAS ,,,
ATTRACTIONS - RECREATION,HUNTING AND FISHING ,,,
ATTRACTIONS - RECREATION ,LIVE MUSIC ,,,
ATTRACTIONS - RECREATION ,MARTIAL ARTS INSTRUCTION ,,,
ATTRACTIONS - RECREATION,MISC ATTRACTIONS ,,,
ATTRACTIONS - RECREATION ,MOVIE AND GAME RENTALS ,,,
ATTRACTIONS - RECREATION,MOVIE THEATERS ,,,
ATTRACTIONS - RECREATION ,OUTDOOR ACTIVITES ,,,
ATTRACTIONS - RECREATION,SPORTS AND RECREATION ,,,
ATTRACTIONS - RECREATION ,SPORTS CLUBS ,,,
ATTRACTIONS - RECREATION ,TOURIST ATTRACTIONS ,,,
ATTRACTIONS - RECREATION ,WATER ACTIVITIES ,,,
ATTRACTIONS - RECREATION ,ZOOS GARDENS AQUARIUMS ,,,
AUTOMOTIVE SERVICES ,AUTOMOTIVE SERVICES ,,,
AUTOMOTIVE SERVICES,CAR WASHING ,,,
AUTOMOTIVE SERVICES TRANSPORTATION ,TRANSPORTATION ,,,
BANKS - FINANCIAL ATM LOCATIONS ,ATM LOCATIONS ,,,
BANKS - FINANCIAL ,BANKS ,,,
BANKS - FINANCIAL,CREDIT UNIONS ,,,
BANKS - FINANCIAL ,FINANCIAL SERVICES ,,,
BANKS - FINANCIAL,MISC FINANCIAL ,,,
EATING - DRINKING ,BAKERIES AND DESSERTS ,,,
EATING - DRINKING,BARS ,,,
EATING - DRINKING ,BARS - CLUBS ,,,
EATING - DRINKING ,FARMS ,,,
EATING - DRINKING,FOOD SERVICES ,,,
EATING - DRINKING ,GROCERY STORES AND MARKETS ,,,
EATING - DRINKING ,MISC EATERIES ,,,
EATING - DRINKING ,RESTAURANTS ,,,
EDUCATION ,CATHOLIC SCHOOL ,,,
EDUCATION,PRIVATE SCHOOL ,,,
EDUCATION,PUBLIC SCHOOL ,,,
EDUCATION ,VOCATIONAL ,,,
FARM - RANCH ,FARMS ,,,
FARM - RANCH ,ORCHARDS ,,,
GOVERNMENT - PUBLIC ,EMERGENCY SERVICES ,,,
GOVERNMENT - PUBLIC ,GOVERNMENT OFFICES ,,,
GOVERNMENT - PUBLIC ,LIBRARIES ,,,
GOVERNMENT - PUBLIC,MISC SERVICES ,,,
HEALTH CARE SERVICES ,CHIROPRACTORS ,,,
HEALTH CARE SERVICES,EMERGENCY SERVICES ,,,
HEALTH CARE SERVICES ,HOSPITALS ,,,
HEALTH CARE SERVICES,LODGING ,,,
HEALTH CARE SERVICES ,MISC SERVICES ,,,
HEALTH CARE SERVICES,PHYSICIANS AND SURGEONS ,,,
HOSPITALITY,CAMPS AND CAMPGROUNDS ,,,
HOSPITALITY ,COMMUNITY ORGANIZATIONS ,,,
HOSPITALITY ,LODGING ,,,
ORGANIZATIONS - ASSOCIATIONS,COMMUNITY ORGANIZATIONS ,,,
ORGANIZATIONS - ASSOCIATIONS,MISC ASSOCIATIONS ,,,
ORGANIZATIONS - ASSOCIATIONS,NON-PROFIT ORGANIZATIONS ,,,
ORGANIZATIONS - ASSOCIATIONS,PLACE OF WORSHIP ,,,
ORGANIZATIONS - ASSOCIATIONS ,SPORTS CLUBS ,,,
PERSONAL SERVICES,APPAREL ,,,
PERSONAL SERVICES,CHILD CARE ,,,
PERSONAL SERVICES,EYECARE ,,,
PERSONAL SERVICES ,GOVERNMENT OFFICES ,,,
PERSONAL SERVICES,LAUNDRIES - CLEANERS ,,,
PERSONAL SERVICES,MISC SERVICES ,,,
PERSONAL SERVICES,MISC SHOPPING ,,,
PERSONAL SERVICES,PHOTOGRAPHY ,,,
PERSONAL SERVICES,SPAS - BEAUTY ,,,
PET SERVICES,PET SERVICES ,,,
PET SERVICES ,VETERINARIANS ,,,
