   ,CATEGORY,STATENAME,COUNT,
1,ATTRACTIONS - RECREATION,ALABAMA,"4,002",
2,ATTRACTIONS - RECREATION,ALASKA,"1,264",
3,ATTRACTIONS - RECREATION,ARIZONA,"5,126",
4,ATTRACTIONS - RECREATION,ARKANSAS,"2,437",
5,ATTRACTIONS - RECREATION,CALIFORNIA,"34,170",
6,ATTRACTIONS - RECREATION,COLORADO,"6,100",
7,ATTRACTIONS - RECREATION,CONNECTICUT,"4,014",
8,ATTRACTIONS - RECREATION,DELAWARE,902,
9,ATTRACTIONS - RECREATION,DISTRICT OF COLUMBIA,840,
10,ATTRACTIONS - RECREATION,FLORIDA,"23,997",
11,ATTRACTIONS - RECREATION,GEORGIA,"8,209",
12,ATTRACTIONS - RECREATION,HAWAII,"1,949",
13,ATTRACTIONS - RECREATION,IDAHO,"1,955",
14,ATTRACTIONS - RECREATION,ILLINOIS,"12,721",
15,ATTRACTIONS - RECREATION,INDIANA,"6,437",
16,ATTRACTIONS - RECREATION,IOWA,"3,873",
17,ATTRACTIONS - RECREATION,KANSAS,"3,001",
18,ATTRACTIONS - RECREATION,KENTUCKY,"3,535",
19,ATTRACTIONS - RECREATION,LOUISIANA,"4,902",
20,ATTRACTIONS - RECREATION,MAINE,"1,736",
21,ATTRACTIONS - RECREATION,MARYLAND,"5,493",
22,ATTRACTIONS - RECREATION,MASSACHUSETTS,"8,932",
23,ATTRACTIONS - RECREATION,MICHIGAN,"11,085",
24,ATTRACTIONS - RECREATION,MINNESOTA,"6,778",
25,ATTRACTIONS - RECREATION,MISSISSIPPI,"2,266",
26,ATTRACTIONS - RECREATION,MISSOURI,"5,672",
27,ATTRACTIONS - RECREATION,MONTANA,"2,275",
28,ATTRACTIONS - RECREATION,NEBRASKA,"2,249",
29,ATTRACTIONS - RECREATION,NEVADA,"3,034",
30,ATTRACTIONS - RECREATION,NEW HAMPSHIRE,"1,920",
31,ATTRACTIONS - RECREATION,NEW JERSEY,"9,586",
32,ATTRACTIONS - RECREATION,NEW MEXICO,"2,050",
33,ATTRACTIONS - RECREATION,NEW YORK,"20,192",
34,ATTRACTIONS - RECREATION,NORTH CAROLINA,"9,155",
35,ATTRACTIONS - RECREATION,NORTH DAKOTA,958,
36,ATTRACTIONS - RECREATION,OHIO,"11,549",
37,ATTRACTIONS - RECREATION,OKLAHOMA,"3,403",
38,ATTRACTIONS - RECREATION,OREGON,"5,136",
39,ATTRACTIONS - RECREATION,PENNSYLVANIA,"15,313",
40,ATTRACTIONS - RECREATION,RHODE ISLAND,"1,634",
41,ATTRACTIONS - RECREATION,SOUTH CAROLINA,"4,701",
42,ATTRACTIONS - RECREATION,SOUTH DAKOTA,"1,573",
43,ATTRACTIONS - RECREATION,TENNESSEE,"6,095",
44,ATTRACTIONS - RECREATION,TEXAS,"19,852",
45,ATTRACTIONS - RECREATION,UTAH,"2,423",
46,ATTRACTIONS - RECREATION,VERMONT,835,
47,ATTRACTIONS - RECREATION,VIRGINIA,"6,529",
48,ATTRACTIONS - RECREATION,WASHINGTON,"8,501",
49,ATTRACTIONS - RECREATION,WEST VIRGINIA,"1,584",
50,ATTRACTIONS - RECREATION,WISCONSIN,"8,419",
51,ATTRACTIONS - RECREATION,WYOMING,912,
52,AUTOMOTIVE SERVICES,ALABAMA,"11,539",
53,AUTOMOTIVE SERVICES,ALASKA,"1,180",
54,AUTOMOTIVE SERVICES,ARIZONA,"10,521",
55,AUTOMOTIVE SERVICES,ARKANSAS,"7,298",
56,AUTOMOTIVE SERVICES,CALIFORNIA,"72,615",
57,AUTOMOTIVE SERVICES,COLORADO,"10,509",
58,AUTOMOTIVE SERVICES,CONNECTICUT,"6,094",
59,AUTOMOTIVE SERVICES,DELAWARE,"1,929",
60,AUTOMOTIVE SERVICES,DISTRICT OF COLUMBIA,554,
61,AUTOMOTIVE SERVICES,FLORIDA,"41,788",
62,AUTOMOTIVE SERVICES,GEORGIA,"23,998",
63,AUTOMOTIVE SERVICES,HAWAII,"2,548",
64,AUTOMOTIVE SERVICES,IDAHO,"3,702",
65,AUTOMOTIVE SERVICES,ILLINOIS,"27,742",
66,AUTOMOTIVE SERVICES,INDIANA,"14,503",
67,AUTOMOTIVE SERVICES,IOWA,"7,640",
68,AUTOMOTIVE SERVICES,KANSAS,"7,294",
69,AUTOMOTIVE SERVICES,KENTUCKY,"9,589",
70,AUTOMOTIVE SERVICES,LOUISIANA,"10,868",
71,AUTOMOTIVE SERVICES,MAINE,"3,015",
72,AUTOMOTIVE SERVICES,MARYLAND,"11,593",
73,AUTOMOTIVE SERVICES,MASSACHUSETTS,"15,341",
74,AUTOMOTIVE SERVICES,MICHIGAN,"21,487",
75,AUTOMOTIVE SERVICES,MINNESOTA,"12,116",
76,AUTOMOTIVE SERVICES,MISSISSIPPI,"6,814",
77,AUTOMOTIVE SERVICES,MISSOURI,"15,199",
78,AUTOMOTIVE SERVICES,MONTANA,"3,200",
79,AUTOMOTIVE SERVICES,NEBRASKA,"5,142",
80,AUTOMOTIVE SERVICES,NEVADA,"4,949",
81,AUTOMOTIVE SERVICES,NEW HAMPSHIRE,"3,860",
82,AUTOMOTIVE SERVICES,NEW JERSEY,"18,041",
83,AUTOMOTIVE SERVICES,NEW MEXICO,"3,929",
84,AUTOMOTIVE SERVICES,NEW YORK,"34,563",
85,AUTOMOTIVE SERVICES,NORTH CAROLINA,"21,532",
86,AUTOMOTIVE SERVICES,NORTH DAKOTA,"1,996",
87,AUTOMOTIVE SERVICES,OHIO,"24,249",
