   ,CATEGORY,COUNT,,STATE,STATE,COUNT
1,ATTRACTIONS - RECREATION,"321,274",,	ALABAMA,01,"207,912"
2,AUTOMOTIVE SERVICES,"671,821",,	ALASKA,02,"34,993"
3,BANKS - FINANCIAL,"1,179,314",,	ARIZONA,04,"223,985"
4,EATING - DRINKING,"1,217,094",,ARKANSAS,05,"128,106"
5,EDUCATION,"336,070",,CALIFORNIA,06,"1,539,281"
6,FARM - RANCH,"64,464",,COLORADO,08,"250,420"
7,GOVERNMENT - PUBLIC,"148,276",,	CONNECTICUT,09,"165,782"
8,HEALTH CARE SERVICES,"1,701,002",,DELAWARE,10,"41,087"
9,HOSPITALITY,"148,470",,DISTRICT OF COLUMBIA,11,"43,275"
10,ORGANIZATIONS - ASSOCIATIONS,"424,378",,FLORIDA,12,"964,885"
11,PERSONAL SERVICES,"5,196,224",,	GEORGIA,13,"427,256"
12,PET SERVICES,"69,873",,HAWAII,15,"68,136"
13,SHOPPING,"2,473,624",,IDAHO,16,"75,787"
14,TRAVEL,"133,180",,ILLINOIS,17,"611,335"
,,"14,085,064",,	INDIANA,18,"278,955"
,,,,IOWA,19,"154,249"
,,,,	KANSAS,20,"148,488"
,,,,KENTUCKY,21,"182,889"
,,,,	LOUISIANA,22,"219,045"
,,,,MAINE,23,"64,056"
,,,,MARYLAND,24,"261,735"
,,,,MASSACHUSETTS,25,"338,524"
,,,,MICHIGAN,26,"412,252"
,,,,MINNESOTA,27,"267,045"
,,,,MISSISSIPPI,28,"134,531"
,,,,MISSOURI,29,"279,039"
,,,,MONTANA,30,"69,623"
,,,,	NEBRASKA,31,"101,048"
,,,,NEVADA,32,"108,382"
,,,,NEW HAMPSHIRE,33,"70,038"
,,,,NEW JERSEY,34,"438,074"
,,,,NEW MEXICO,35,"82,756"
,,,,NEW YORK,36,"862,095"
,,,,NORTH CAROLINA,37,"421,548"
,,,,	NORTH DAKOTA,38,"43,765"
,,,,OHIO,39,"473,092"
,,,,OKLAHOMA,40,"168,918"
,,,,OREGON,41,"193,289"
,,,,PENNSYLVANIA,42,"669,377"
,,,,RHODE ISLAND,44,"51,836"
,,,,SOUTH CAROLINA,45,"209,741"
,,,,SOUTH DAKOTA,46,"55,734"
,,,,TENNESSEE,47,"296,843"
,,,,	TEXAS,48,"1,069,139"
,,,,UTAH,49,"102,576"
,,,,VERMONT,50,"33,715"
,,,,VIRGINIA,51,"334,503"
,,,,WASHINGTON,53,"338,772"
,,,,WEST VIRGINIA,54,"70,284"
,,,,WISCONSIN,55,"261,238"
,,,,WYOMING,56,"35,598"
,,,,NO PUERTO RICO,?,32
,,,,,,"14,085,064"
