"Tax Assessor Data Code Values",,
,,
PropertyAddressInfoPrivacy,,
,PropertyAddressInfoPrivacy,Description
,NULL,"UNKNOWN OR NOT PROVIDED"
,"0  ",UNKNOWN
,1,"Cannot Use for Marketing, Based on Legal Restriction"
,,
GeoQuality,,
,GeoQuality,Description
,NULL,"UNKNOWN OR NOT PROVIDED"
,0,Rooftop
,1,"Street Level "
,5,"ZIP Centroid"
,9,"County Level"
,,
TrustDescription,,
,TrustDescription,Description
,NULL,"UNKNOWN OR NOT PROVIDED"
,Estate,"The Owner is an estate"
,"Name is a Trust","The Owner is a trust"
,"Not a trust","The Owner is not a Trust"
,Unknown,"A Determination Cannot be Made"
,,
CompanyFlag,,
,CompanyFlag,Description
,NULL,"UNKNOWN OR NOT PROVIDED"
,Y,"The Owner is Determine to be a Company"
,,
OwnerTypeDescription1,,
,OwnerTypeDescription1,Description
,NULL,"UNKNOWN OR NOT PROVIDED"
,Individual,"Owned by a person, couple or some non-incorporated entity"
,Company,Company
,Deceased,"The owner is deceased"
,Unknown,"Unable to determine the owner type"
,Government,"(No longer supported / used)"
,,
OwnerTypeDescription2,,
,OwnerTypeDescription2,Description
,NULL,"UNKNOWN OR NOT PROVIDED"
,Individual,"Owned by a person, couple or some non-incorporated entity"
,Company,Company
,Deceased,"The owner is deceased"
,Unknown,"Unable to determine the owner type"
,Government,"(No longer supported / used)"
,,
OwnershipVestingRelationCode,,
,OwnerVestingRelationCode,Description
,NULL,"UNKNOWN OR NOT PROVIDED"
,"0  ",UNKNOWN
,101,"Brother And Sister"
,103,Company
,104,"Corporate Trust"
,105,Deceased
,107,Divorced
,109,"Husband And Wife"
,111,"Individual Man"
,113,"Individual Woman"
,115,Married
,117,"Married Couple"
,118,"Married Man"
,120,"Married Woman"
,122,"Personal Trust"
,123,Single
,125,"Single Man"
,127,"Single Woman"
,129,Trustee
,130,Trust
,131,"Unmarried Man"
,133,Unmarried
,135,"Unmarried Woman"
,137,Widow
,139,Widower
,141,Heirs
,142,Single
,143,Wife
,144,"Owner has DBA data"
,145,"Wholly Exempt"
,146,Association
,147,"Trustee Corporation"
,148,"Contract Purchase"
,149,"Community Property"
,150,Estate
,151,Executor
,152,Guardian
,153,"Joint Tenant/Joint Tenant W/ Right Of Survivorship"
,154,"Joint Venture"
,155,"Lifetime Benefit"
,156,"Life Estate"
,157,"Lease From"
,158,"Limited Partnership"
,159,"Living Trust"
,160,"Non Declared Trust"
,161,"Personal Representative"
,162,Partnership
,163,Remainderman
,164,"Right Of Survivorship"
,165,"Revocable Trust"
,166,"Separate Estate/Property"
,167,"Sole Owner"
,168,Survivor
,169,"Tenants In Common"
,170,Trust
,171,"Tenant By Entirety"
,172,"Undivided Interest"
,173,"Name Derived From Affidavit"
,174,"Also Known As (AKA)"
,175,"Doing Business As (DBA)"
,176,Defendant
,177,"Dower Clause"
,178,"Formerly Known As (FKA)"
