,,Tax Assessor,"Version
13",,
No.,Field Name,Description,Data Type,Edit Details,
1,ATTOM ID,ATTOM Data's Unique parcel identifier.,int,9/2017 - Description updated,
2,SitusStateCode,State where the property is situated.,varchar(2),9/2017 - Description updated,
3,SitusCounty,County where the property is situated.,varchar(50),9/2017 - Description updated,
4,PropertyJurisdictionName,Name of the tax jurisdiction.  This is typically the county with some exceptions.  Exceptions are primarily in the New England area where the townships are the taxing authorities.,varchar(50),,
5,SitusStateCountyFIPS,5 digit numeric Federal Information Processing Standard (FIPS) code combining state and county codes where the property is located.,char(5),,
6,CombinedStatisticalArea,Combined Statistical Area (CSA) Names - Area consisting of two or more adjacent metropolitan and micropolitan statistical areas that have substantial employment interchange as defined by the Office of Management and Budget (OMB).,varchar(100),9/2017 - Description updated,
7,CBSAName,Core Based Statistical Area (CBSA) Name - A U.S. geographic area defined by the Office of Management and Budget (OMB).,varchar(100),9/2017 - Description updated,
8,CBSACode,Core Based Statistical Area (CBSA) Code - A U.S. geographic area defined by the Office of Management and Budget (OMB).,char(5),9/2017 - Description updated,
9,MSAName,Metropolitan Statistical Area Name as defined by the Office of Management and Budget (OMB).,varchar(100),9/2017 - Description updated,
10,MSACode,Metropolitan Statistical Area Code as defined by the Office of Management and Budget (OMB).,char(5),9/2017 - Description updated,
11,MetropolitanDivision,"Metropolitan Division Name, as defined by the Office of Management and Budget (OMB).",varchar(100),9/2017 - Description updated,
12,MinorCivilDivisionName,"Minor Civil Division Name.  i.e. Boroughs, Districts, Townships, etc…",varchar(100),9/2017 - Description updated,
13,MinorCivilDivisionCode,Minor Civil Division Code.  5 digit numeric code.,char(5),9/2017 - Description updated,
14,NeighborhoodCode,Assessor provided code used to delineate geographic areas.,varchar(10),9/2017 - Description updated,
15,CensusFIPSPlaceCode,US Census Designated Place Code for subject property,char(5),10/2019 - Name/description updated,
16,CensusTract,US Census assigned Tract Code for subject property.,int,9/2017 - Description updated,
17,CensusBlockGroup,US Census assigned Block Group for subject property.,int,9/2017 - Description updated,
18,CensusBlock,US Census assigned Block for subject property.,int,9/2017 - Description updated,
19,ParcelNumberRaw,Primary Parcel Number and unique identifier within the county/jurisdiction,varchar(60),8/2017 - Description updated,
20,ParcelNumberFormatted,Legacy Parcel - Deprecated - No longer supported.,varchar(60),8/2017 - Description updated,
21,ParcelNumberYearAdded,The year that the current Parcel Number was introduced into the ATTOM Data databases,smallint,9/2017 - Description updated,
22,ParcelNumberAlternate,"Secondary property identifier, not always unique.",varchar(60),9/2017 - Description updated,
23,ParcelMapBook,"Recorded, Survey or Plat Map Book reference for the parcel.",varchar(10),9/2017 - Description updated,
24,ParcelMapPage,"Recorded, Survey or Plat Map Page reference for the parcel",varchar(10),9/2017 - Description updated,
25,ParcelNumberYearChange,Year of the latest Parcel Number change for respective property,smallint,9/2017 - Description updated,
26,ParcelNumberPrevious,Previous parcel number assigned to the subject property.,varchar(60),9/2017 - Description updated,
27,ParcelAccountNumber,Account Number of respective Parcel,varchar(35),9/2017 - Description updated,
28,PropertyAddressFull,123 1/2 N Main St  - Full site address line,varchar(150),9/2017 - Description updated,
29,PropertyAddressHouseNumber,123 1/2 N Main St  - Site address house number and fraction.,varchar(25),9/2017 - Description updated,
30,PropertyAddressStreetDirection,123 1/2 N Main St  - Site address pre directional.,varchar(10),9/2017 - Description updated,
31,PropertyAddressStreetName,123 1/2 N Main St  - Site address street name.               ,varchar(100),9/2017 - Description updated,
32,PropertyAddressStreetSuffix,123 1/2 N Main St  - Site address street name suffix.      ,varchar(25),9/2017 - Description updated,
33,PropertyAddressStreetPostDirection,"100 Center NW Pl., Unit 4a - Site address post-directional.      ",varchar(10),9/2017 - Description updated,
34,PropertyAddressUnitPrefix,"100 Center NW Pl., Unit 4a - Site address unit number Prefix.           ",varchar(20),9/2017 - Description updated,
35,PropertyAddressUnitValue,"100 Center NW Pl., Unit 4a - Site address unit number.               ",varchar(25),9/2017 - Description updated,
36,PropertyAddressCity,Anytown CA 90001-0001 CR0523 - Site address city name.     ,varchar(50),9/2017 - Description updated,
37,PropertyAddressState,Anytown CA 90001-0001 CR0523 - Site address state.           ,varchar(2),9/2017 - Description updated,
38,PropertyAddressZIP,Anytown CA 90001-0001 CR0523 - Site address Zip Code.                  ,varchar(5),9/2017 - Description updated,
39,PropertyAddressZIP4,Anytown CA 90001-0001 CR0523 - Site address Zip  Plus 4 code.      ,varchar(4),9/2017 - Description updated,
40,PropertyAddressCRRT,Anytown CA 90001-0001 CR0523 - Site address Carrier Route.,varchar(4),9/2017 - Description updated,
41,PropertyAddressInfoPrivacy,"Non-soliciation flag due to state/local restrictions, or ATTOMData derived. Not associated with DMAA or other databases",smallint,4/2020 - Description updated,
42,CongressionalDistrictHouse,Indicates the U.S. House of Representative Congressional District the property is located within.  Supplemental geographical definition provided to assist with data analysis. ,smallint,,
43,PropertyLatitude,The latitude of the property in degrees.  ,float,,
44,PropertyLongitude,The longitude of the property in degrees.  ,float,,
45,GeoQuality,Code to indicate the level of quality of the geocodes as determined by the geocoding process.,varchar(20),,
46,LegalDescription,Legal description as provided in the tax roll and / or recorded instruments. ,varchar(255),9/2017 - Description updated,
47,LegalRange,Range portion using the Township Range Survey System,varchar(35),9/2017 - Description updated,
48,LegalTownship,Township portion using the Township Range Survey System,varchar(35),9/2017 - Description updated,
49,LegalSection,Section portion using the Township Range Survey System,varchar(35),9/2017 - Description updated,
50,LegalQuarter,Quarter portion using the Township Range Survey System,varchar(4),9/2017 - Description updated,
51,LegalQuarterQuarter,Quarter Quarter portion using the Township Range Survey System,varchar(4),9/2017 - Description updated,
52,LegalSubdivision,Subdivision name,varchar(50),9/2017 - Description updated,
53,LegalPhase,Phase name / number,varchar(10),9/2017 - Description updated,
54,LegalTractNumber,Tract number,varchar(10),9/2017 - Description updated,
55,LegalBlock1,Block number - first of multiple,varchar(10),9/2017 - Description updated,
56,LegalBlock2,Block number - second of multiple,varchar(10),9/2017 - Description updated,
57,LegalLotNumber1,Lot number - first of multiple,varchar(10),9/2017 - Description updated,
58,LegalLotNumber2,Lot number - second of multiple,varchar(10),9/2017 - Description updated,
59,LegalLotNumber3,Lot number - third of multiple,varchar(10),9/2017 - Description updated,
60,LegalUnit,Legal unit name or number. Multiple unit numbers may exist in the same field.,varchar(10),9/2017 - Description updated,
61,PartyOwner1NameFull,Full name of the first individual.(i.e. JOHN L SMITH),varchar(150),2/2019 - Description updated,
62,PartyOwner1NameFirst,First name of the first individual.,varchar(50),10/2018 - Description updated,
63,PartyOwner1NameMiddle,Middle name or middle initial of the first individual.,varchar(20),9/2017 - Description updated,
64,PartyOwner1NameLast,"Last name of the first individual. If name is a company, the name will be present in this field.",varchar(50),10/2018 - Description updated,
65,PartyOwner1NameSuffix,"Suffix (Jr., III, etc.) of first owner..",varchar(20),9/2017 - Description updated,
66,TrustDescription,Flag that indicates if primary owner is a trust.,varchar(50),9/2017 - Description updated,
67,CompanyFlag,Indicates if the property is owned by a non-individual entity.,varchar(1),9/2017 - Description updated,
68,PartyOwner2NameFull,"Full, unparsed name of second owner. (i.e. MARY M SMITH)",varchar(150),2/2019 - Description updated,
69,PartyOwner2NameFirst,Fisrt name of second owner.,varchar(50),10/2018 - Description updated,
70,PartyOwner2NameMiddle,Middle name of second owner.,varchar(20),9/2017 - Description updated,
71,PartyOwner2NameLast,"Last name of second owner. If name is a company, the name will be present in this field.",varchar(50),10/2018 - Description updated,
72,PartyOwner2NameSuffix,"Suffix (Jr., III, etc.) of second owner..",varchar(20),9/2017 - Description updated,
73,OwnerTypeDescription1,"Identifies if first owner is a company, individual, government or unknown",varchar(50),9/2017 - Description updated,
74,OwnershipVestingRelationCode,Indicates the ownership vesting held by the owner(s).,varchar(3),9/2017 - Description updated,
75,PartyOwner3NameFull,"Full, unparsed name of third owner. (i.e. MICHAEL T JONES)",varchar(150),2/2019 - Description updated,
76,PartyOwner3NameFirst,First name of third owner.,varchar(50),10/2018 - Description updated,
77,PartyOwner3NameMiddle,Middle name of third owner.,varchar(20),9/2017 - Description updated,
78,PartyOwner3NameLast,"Last name of third owner. If name is a company, the name will be present in this field.",varchar(50),10/2018 - Description updated,
79,PartyOwner3NameSuffix,"Suffix (Jr., III, etc.) of third owner..",varchar(20),9/2017 - Description updated,
80,PartyOwner4NameFull,"Full, unparsed name of fourth owner. (i.e. CAROL S JONES)",varchar(150),2/2019 - Description updated,
81,PartyOwner4NameFirst,First name of fourth owner.,varchar(50),9/2017 - Description updated,
82,PartyOwner4NameMiddle,Middle name of fourth owner.,varchar(20),9/2017 - Description updated,
83,PartyOwner4NameLast,"Last name of fourth owner. If name is a company, the name will be present in this field.",varchar(50),10/2018 - Description updated,
84,PartyOwner4NameSuffix,"Suffix (Jr., III, etc.) of fourth owner..",varchar(20),12/2017 - Field length updated,
85,OwnerTypeDescription2,"Identifies if second owner is a company, individual, government or unknown",varchar(50),9/2017 - Description updated,
86,ContactOwnerMailingCounty,Mailing county of the property owner.,varchar(50),9/2017 - Description updated,
87,ContactOwnerMailingFIPS,Mailing Federal Information Processing Standard (FIPS) code for the county.,char(5),9/2017 - Description updated,
88,ContactOwnerMailAddressFull,123 1/2 N Main St  - Full mailing address.,varchar(100),9/2017 - Description updated,
89,ContactOwnerMailAddressHouseNumber,123 1/2 N Main St  - Mailing address house number and fraction.,varchar(20),9/2017 - Description updated,
90,ContactOwnerMailAddressStreetDirection,123 1/2 N Main St  - Mailing address pre-directional.,varchar(10),9/2017 - Description updated,
91,ContactOwnerMailAddressStreetName,123 1/2 N Main St  - Mailing address street name.,varchar(100),9/2017 - Description updated,
92,ContactOwnerMailAddressStreetSuffix,123 1/2 N Main St  - Mailing address street name suffix.,varchar(25),9/2017 - Description updated,
93,ContactOwnerMailAddressStreetPostDirection,"100 Center NW Pl., Unit 4a - Mailing address post-directional.",varchar(10),9/2017 - Description updated,
94,ContactOwnerMailAddressUnitPrefix,"100 Center NW Pl., Unit 4a - Mailing address unit number prefix.",varchar(20),9/2017 - Description updated,
95,ContactOwnerMailAddressUnit,"100 Center NW Pl., Unit 4a - Mailing address unit number.",varchar(20),9/2017 - Description updated,
