"RT Standard Field Name","Field Definition","Field Data Type","Field Size","Acceptable Value","Value Definition"
RTPropertyUniqueIdentifier,"A RealtyTrac integer identifier for the property",int,,,
sa_property_id,"A legacy identifier for the property. The value refers to DataQuick SA_PROPERTY_ID",bigint,,,
SitusStateCountyFIPS,"The five-digit state and county Federal Information Processing Standards (FIPS) code combination of the site property address",char,5,,
JurisdictionCountyFIPS,"The five-digit state and county Federal Information Processing Standards (FIPS) code combination of the taxing jurisdiction ",char,5,,
APNUnformatted,"The Tax Identification number (APN) of the property",varchar,100,,
APNFormatted,"The Formatted Tax Identification number (APN) of the property",varchar,60,,
FIPSCountyName,"The county name associated with the site property address Federal Information Processing Standards (FIPS) county code.",varchar,35,,
MunicipalityName,"The full name of the Jurisdiction",varchar,24,,
InactiveParcelFlag,"An indicator that the parcel is not actively taxed by the assessor.",varchar,1,Y,"The parcel is currently active"
InactiveParcelFlag,,varchar,1,(blank),"The status of the parcel is unknown. The assessor is no longer providing updates to this parcel"
ParcelNumberReference,"A secondary identifier recognized by the jurisdiction as a means to refer to a property. This number may not be unique in a jurisdiction.",varchar,35,,
ParcelAccountNumber,"A jurisdiction-internal identifier used to identify a property. This number is often associated with the owner of record as opposed to a parcel of land. In cases where the account number refers to ownership, the value changes often and is not best qualified to identify a property long term.",varchar,35,,
ParcelNumberAlternate,"An additional identifier for the primary parcel number. The ParcelNumberAlternate is recognizable by the jurisdiction and this number may not be unique in a jurisdiction.",varchar,35,,
ParcelNumberPrevious,"The previous parcel number after a parcel number conversion occurs.",varchar,35,,
ParcelNumberYearChange,"The year in which the most recent parcel number conversion took place.",smallint,7,,
ShellParcelFlag,"An indicator that the record may contain limited data elements until the next assessor update is processed.",varchar,1,Y,Yes
ShellParcelFlag,,,,(blank),Unknown
ApnAddedYear,"The vendor-provided year indicating when the APN was added                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",smallint,7,,
SitusAddress,"The site full address of the property",varchar,150,,
SitusCity,"The site city of the property",varchar,50,,
SitusState,"The site state of the property",char,2,,
SitusZip,"The site ZIP code of the property",char,5,,
SitusZip4,"The site-specific 4-digit ZIP code extension of the property",char,4,,
AddressCRRT,"The site address Postal Carrier Route of the property. A Carrier Route includes city routes, rural routes, highway contract routes, Post Office box sections and general delivery units.",varchar,4,,
OwnerOccupied,"A derived code for whether the subject property is Owner Occupied and the logic used for the determination",varchar,1,-1,"Unknown - A definite YES or NO cannot be determined by business logic"
OwnerOccupied,,,,0,"NO owner occupancy determined by logic - Site Mail Same is not true, Exemption Flag is not populated, Exemption Value is not populated"
OwnerOccupied,,,,1,"YES owner occupancy determined by logic - Site Mail Same is true, Exemption Flag is not populated, Exemption Value is not populated"
OwnerOccupied,,,,2,"YES owner occupancy determined by logic - Site Mail Same is not true, Exemption Flag is populated, Exemption Value is not populated"
OwnerOccupied,,,,3,"YES owner occupancy determined by logic - Site Mail Same is true, Exemption Flag is populated, Exemption Value is not populated"
OwnerOccupied,,,,4,"YES owner occupancy determined by logic - Site Mail Same is not true, Exemption Flag is not populated, Exemption Value is populated"
OwnerOccupied,,,,5,"YES owner occupancy determined by logic - Site Mail Same is true, Exemption Flag is not populated, Exemption Value is populated"
OwnerOccupied,,,,6,"YES owner occupancy determined by logic - Site Mail Same is not true, Exemption Flag is populated, Exemption Value is populated"
OwnerOccupied,,,,7,"YES owner occupancy determined by logic - Site Mail Same is true, Exemption Flag is populated, Exemption Value is populated"
,,,,Y,"Yes owner occupied"
SitusCounty,"The county name of the situs address for the property",varchar,50,,
SitusHouseNumber,"The site house number of the property",varchar,25,,
SitusHouseNumberFraction,"The site house fraction number (1/2, etc.) of the property",varchar,10,,
SitusStreetName,"The site street name of the property",varchar,100,,
SitusDirection,"The site pre direction of the property",varchar,15,,
SitusAddressSuffix,"The site suffix (Ave, Dr, Ct, etc.) of the property",varchar,100,,
SitusPostDirection,"The site post direction (N, S, E, W, NE, etc.) of the property",varchar,25,,
SitusUnitPrefix,"The site unit number prefix of the property",varchar,10,,
SitusUnitValue,"The site unit number of the property",varchar,25,,
CombinedStatisticalArea,"The Metropolitan Statistical Area (MSA) name of the property",varchar,100,,
MetropolitanDivision,"The Metropolitan Division of the property",varchar,100,,
LegalDescription,"The assessor's description of the property location",varchar,8000,,
