,,"Tax Assessor Layout - Technical Details","Version
16",
No.,"5.0 Field Name","Notes / Reference Links -  NOTE: Not all fields/rows will contain details",Table:,"SQL Server
Storage Size"
1,"ATTOM ID","This field represents an ATTOM DATA Unique identifier assigned to the property during it's entire life in our databases.  
Regardless if the records is a future record, active, or inactive property.",n/a,4
2,SitusStateCode,"No further details",n/a,2
3,SitusCounty,"No further details",n/a,50
4,PropertyJurisdictionName,"Generally populated with the county name throughout the nation.  However, in many New England Counties (i.e. CT, MA, NH), there is no ""County Government"" or ""County Taxing Authority/Assesor"".  
Instead, property values and taxes are managed at the local township/municipality level. 
In such counties, this field will be populated with that ""Towns/Muni"" name instead of the county name.",n/a,50
5,SitusStateCountyFIPS,"A five digit code where the first two digits represent the state, and the last three digits represent the county within that state.  
i.e. 06037 where: 
 - - 06 = CA and 
 - - 037 = Los Angeles
County numbers have been assigned in odd sequence - 1,3,5, etc.. this allows for future expansion as new counties are created.  Recent examples include: 
 - Miami-Dade FL (renamed from Dade County) = 12086
 - Broomfield CO (previously Boulder, Adams, Jefferson, and Weld Counties) = 08014",n/a,5
6,CombinedStatisticalArea,https://www.census.gov/geo/reference/gtc/gtc_cbsa.html,,100
7,CBSAName,,,100
8,CBSACode,,,5
9,MSAName,https://www.census.gov/programs-surveys/metro-micro/about.html,,100
10,MSACode,,,5
11,MetropolitanDivision,,,100
12,MinorCivilDivisionName,https://www.census.gov/geo/reference/gtc/gtc_cousub.html,,100
13,MinorCivilDivisionCode,,,5
14,NeighborhoodCode,"Field is populated with a county provided code. A cross reference table is not available.  
When queried, neighboring properties will contain the same code because they are all in the same ""neighborhood"".",,10
15,CensusFIPSPlaceCode,"https://www.census.gov/geo/reference/gtc/gtc_ct.html
https://www.census.gov/geo/reference/terms.html",,5
16,CensusTract,,,4
17,CensusBlockGroup,,,4
18,CensusBlock,,,4
19,ParcelNumberRaw,"You can use this field as a Unique Identifier at the county level.  Keep in mind that the number provided may or may not be in the same format which the county provides in their web site, such as dashes.
Additionally, although this field is often populated with numbers, it is recommended that you load this as TEXT.  The parcel numbers may also include leading alpha, leading zeros, periods, dashes, and other special characters.",,60
20,ParcelNumberFormatted," - do not use - Though there may be data in this field, it's population is inconsistent and may not always be current or match the ParcelNumberFormatted values.",,60
21,ParcelNumberYearAdded,"Where available.  Older parcels may not have any values as this was before the data was being collected by the county or ATTOM Data.",,2
22,ParcelNumberAlternate,"In some counties, there may be multi-identifiers for a parcel, i.e. Acct#, APN, ParcelID.  When a count provide multiple fields, the primary is provided in the ParcelNumberRaw field above, while the second reference number is provided here.  This is helpful when end users may have one or the other reference number.",,60
23,ParcelMapBook,"Not to be confused with the assessor maps, which follow a number format that is related to the Parcel Number.
Example: 
  - Parcel 400-123-01 will be on 
   - - MAP BOOK 400
   - - MAP PAGE 123",,10
24,ParcelMapPage,,,10
25,ParcelNumberYearChange,"Only populated when the parcel has gone through a parcel number change.",,2
26,ParcelNumberPrevious,"Counties will generally change parcel numbers under the following conditions:
- Changing to newer software, causing all parcels to be renumbered
- Running out of Parcel Numbers, needing to renumber the entire county
- Subdivision where one or more parcels are split or combined, thus a need to renumber
Some parcel number changes are localized to a small area like a city or even a few blocks.  Other times, it could be the entire county.",,60
27,ParcelAccountNumber,"Number may or may not be the same as the Parcel Number.  Generally associated to the taxing of the property.",,35
28,PropertyAddressFull,"No further details",,150
29,PropertyAddressHouseNumber,"No further details",,25
30,PropertyAddressStreetDirection,"No further details",,10
31,PropertyAddressStreetName,"No further details",,100
32,PropertyAddressStreetSuffix,"No further details",,25
33,PropertyAddressStreetPostDirection,"No further details",,10
34,PropertyAddressUnitPrefix,"No further details",,20
35,PropertyAddressUnitValue,"No further details",,25
36,PropertyAddressCity,"No further details",,50
37,PropertyAddressState,"No further details",,2
38,PropertyAddressZIP,"No further details",,5
39,PropertyAddressZIP4,"No further details",,4
40,PropertyAddressCRRT,"No further details",,4
41,PropertyAddressInfoPrivacy," - do not use - No longer supported - No further details",,2
42,CongressionalDistrictHouse,"No further details",,2
43,PropertyLatitude,"No further details",,12
44,PropertyLongitude,"No further details",,12
45,GeoQuality,"No further details",,20
46,LegalDescription,"Depending on the county's standards, this field may contain block and lot data, tract information, subdivision and/or phase, metes and bounds, and other information used to describe the property and it's location.  This is a free text field with no particular format or standards as this is a direct capture from the county data.",,255
47,LegalRange,"No further details",,35
48,LegalTownship,"No further details",,35
49,LegalSection,"No further details",,35
50,LegalQuarter,"No further details",,4
51,LegalQuarterQuarter,"No further details",,4
52,LegalSubdivision,"No further details",,50
53,LegalPhase,"No further details",,10
54,LegalTractNumber,"No further details",,10
55,LegalBlock1,"No further details",,10
56,LegalBlock2,"No further details",,10
" ",LegalLotNumber1,"No further details",,10
58,LegalLotNumber2,"No further details",,10
59,LegalLotNumber3,"No further details",,10
60,LegalUnit,"No further details",,10
61,PartyOwner1NameFull,"Contains the updated owner name based on the most current between the following:
- Assessor Tax Roll Update  ... vs ..   - Deed Update

The population of Owner Names 1, 2, 3, and 4 will vary, depending on the last name.
Example1:
SMITH JOHN L & MARY M will be populated as follows:
Party Owner 1 fields: JOHN L SMITH
Party Owner 2 fields: MARY M SMITH

Example 2:
SMITH JOHN L & MARY M, JONES MICHAEL T & CAROL S will be populated as follows:
Party Owner 1 fields: JOHN L SMITH
Party Owner 2 fields: MARY M SMITH
Party Owner 3 fields: MICHAEL T JONES
Party Owner 4 fields: CAROL S JONES

Example 3:
SMITH JOHN L, JONES CAROL S will be populated as follows:
Party Owner 1 fields: JOHN L SMITH
Party Owner 2 fields: 
Party Owner 3 fields: CAROL S JONES
Party Owner 4 fields: 

Example 4:
SMITH JOHN L, JONES MICHAEL T & CAROL S will be populated as follows:
Party Owner 1 fields: JOHN L SMITH
Party Owner 2 fields: 
Party Owner 3 fields: MICHAEL T JONES
Party Owner 4 fields: CAROL S JONES",,150
62,PartyOwner1NameFirst,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,50
63,PartyOwner1NameMiddle,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,20
64,PartyOwner1NameLast,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,50
65,PartyOwner1NameSuffix,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,20
66,TrustDescription,"No further details",,50
67,CompanyFlag,"No further details",,1
68,PartyOwner2NameFull,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,150
69,PartyOwner2NameFirst,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,50
70,PartyOwner2NameMiddle,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,20
71,PartyOwner2NameLast,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,50
72,PartyOwner2NameSuffix,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,20
73,OwnerTypeDescription1,"No further details",,50
74,OwnershipVestingRelationCode,"No further details",,3
75,PartyOwner3NameFull,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,150
76,PartyOwner3NameFirst,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,50
77,PartyOwner3NameMiddle,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,20
78,PartyOwner3NameLast,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,50
79,PartyOwner3NameSuffix,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,20
80,PartyOwner4NameFull,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,150
81,PartyOwner4NameFirst,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,50
82,PartyOwner4NameMiddle,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,20
83,PartyOwner4NameLast,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,50
84,PartyOwner4NameSuffix,"See PartyOwner1NameFull details - fields will be parsed into their respective fields using the same format",,5
85,OwnerTypeDescription2,"No further details",,50
86,ContactOwnerMailingCounty,"No further details",,50
87,ContactOwnerMailingFIPS,"No further details",,5
88,ContactOwnerMailAddressFull,"No further details",,100
89,ContactOwnerMailAddressHouseNumber,"No further details",,20
90,ContactOwnerMailAddressStreetDirection,"No further details",,10
91,ContactOwnerMailAddressStreetName,"No further details",,100
92,ContactOwnerMailAddressStreetSuffix,"No further details",,25
93,ContactOwnerMailAddressStreetPostDirection,"No further details",,10
94,ContactOwnerMailAddressUnitPrefix,"No further details",,20
95,ContactOwnerMailAddressUnit,"No further details",,20
96,ContactOwnerMailAddressCity,"No further details",,50
97,ContactOwnerMailAddressState,"No further details",,2
98,ContactOwnerMailAddressZIP,"No further details",,5
99,ContactOwnerMailAddressZIP4,"No further details",,4
100,ContactOwnerMailAddressCRRT,"No further details",,4
101,ContactOwnerMailAddressInfoFormat,"No further details",,50
102,ContactOwnerMailInfoPrivacy," - do not use - No longer supported - No further details",,1
103,StatusOwnerOccupiedFlag,"No further details",,1
104,DeedOwner1NameFull,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,150
105,DeedOwner1NameFirst,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,50
106,DeedOwner1NameMiddle,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,20
107,DeedOwner1NameLast,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,50
108,DeedOwner1NameSuffix,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,20
109,DeedOwner2NameFull,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,150
110,DeedOwner2NameFirst,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,50
111,DeedOwner2NameMiddle,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,20
112,DeedOwner2NameLast,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,50
113,DeedOwner2NameSuffix,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,20
114,DeedOwner3NameFull,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,150
115,DeedOwner3NameFirst,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,50
116,DeedOwner3NameMiddle,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,20
117,DeedOwner3NameLast,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,50
118,DeedOwner3NameSuffix,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,20
119,DeedOwner4NameFull,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,150
120,DeedOwner4NameFirst,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,50
121,DeedOwner4NameMiddle,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,20
122,DeedOwner4NameLast,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,50
123,DeedOwner4NameSuffix,"Contains the respective owner name field if there has been a recent sale (after the Tax Roll through date)
Will be blank if there is no recent ownership transfer",,20
124,TaxYearAssessed,"No further details",,2
125,TaxAssessedValueTotal,"No further details",,4
126,TaxAssessedValueImprovements,"No further details",,4
127,TaxAssessedValueLand,"No further details",,4
128,TaxAssessedImprovementsPerc,"No further details",,5
129,PreviousAssessedValue,"No further details",,4
130,TaxMarketValueYear,"No further details",,2
131,TaxMarketValueTotal,"No further details",,4
132,TaxMarketValueImprovements,"No further details",,4
133,TaxMarketValueLand,"No further details",,4
134,TaxMarketImprovementsPerc,"No further details",,5
135,TaxFiscalYear,"No further details",,2
136,TaxRateArea,"No further details",,20
137,TaxBilledAmount,"No further details",,4
138,TaxDelinquentYear,"No further details",,2
139,LastAssessorTaxRollUpdate,"No further details",,3
140,AssrLastUpdated,"No further details",,4
141,TaxExemptionHomeownerFlag,"No further details",,1
142,TaxExemptionDisabledFlag,"No further details",,1
143,TaxExemptionSeniorFlag,"No further details",,1
144,TaxExemptionVeteranFlag,"No further details",,1
145,TaxExemptionWidowFlag,"No further details",,1
146,TaxExemptionAdditional,"No further details",,10
147,YearBuilt,"No further details",,2
148,YearBuiltEffective,"No further details",,2
149,ZonedCodeLocal,"No further details",,50
150,PropertyUseMuni,"No further details",,10
151,PropertyUseGroup,"No further details",,50
152,PropertyUseStandardized,"No further details",,4
153,AssessorLastSaleDate,"Contains the last (most current) ARMS LENGTH Sale Date",,4
154,AssessorLastSaleAmount,"Contains the last (most current) ARMS LENGTH Sale Amount",,4
155,AssessorPriorSaleDate,"No further details",,4
156,AssessorPriorSaleAmount,"No further details",,4
157,LastOwnershipTransferDate,"Contains the LAST OWNERSHIP CHANGE DATE, regardless of it being ARMS-LENGTH or NON-ARMS-LENGTH in nature",,4
158,LastOwnershipTransferDocumentNumber,"Contains the LAST OWNERSHIP CHANGES DOCUMENT NUMBER, regardless of it being ARMS-LENGTH or NON-ARMS-LENGTH in nature",,20
159,LastOwnershipTransferTransactionID,"Contains the LAST OWNERSHIP CHANGE TRANSACTION ID, regardless of it being ARMS-LENGTH or NON-ARMS-LENGTH in nature",,4
160,DeedLastSaleDocumentBook,"Contains the LAST ARMS-LENGTH DOCUMENT BOOK",,15
161,DeedLastSaleDocumentPage,"Contains the LAST ARMS-LENGTH DOCUMENT PAGE",,15
