state,stateTotalRecords,ATTOMID,Area1stFloor,AreaBuilding,AreaBuildingDefinitionCode,AreaGross,AreaLotAcres,AreaLotDepth,AreaLotSF,AreaLotWidth,AssessorLastSaleAmount,AssessorLastSaleDate,AssessorPriorSaleAmount,AssessorPriorSaleDate,BathCount,BuildingsCount,CBSACode,CBSAName,CensusBlock,CompanyFlag,CongressionalDistrictHouse,Construction,ContactOwnerMailAddressCRRT,ContactOwnerMailAddressCity,ContactOwnerMailAddressFull,ContactOwnerMailAddressHouseNumber,ContactOwnerMailAddressInfoFormat,ContactOwnerMailAddressState,ContactOwnerMailAddressStreetName,ContactOwnerMailAddressStreetSuffix,ContactOwnerMailAddressZIP,ContactOwnerMailAddressZIP4,ContactOwnerMailingCounty,ContactOwnerMailingFIPS,DeedLastDocumentNumber,DeedLastSaleDate,DeedLastSaleDocumentBook,DeedLastSaleDocumentPage,DeedLastSalePrice,DeedLastSaleTransactionID,DeedOwner1NameFirst,DeedOwner1NameFull,DeedOwner1NameLast,DeedOwner1NameMiddle,DeedOwner1NameSuffix,DeedOwner2NameFirst,DeedOwner2NameFull,DeedOwner2NameLast,DeedOwner2NameMiddle,DeedOwner2NameSuffix,Fireplace,FireplaceCount,Foundation,GeoQuality,HVACCoolingDetail,HVACHeatingDetail,HVACHeatingFuel,InteriorStructure,LastAssessorTaxRollUpdate,LastOwnershipTransferDate,LastOwnershipTransferDocumentNumber,LastOwnershipTransferTransactionID,LegalBlock1,LegalDescription,LegalLotNumber1,LegalLotNumber2,LegalQuarter,LegalQuarterQuarter,LegalRange,LegalSection,LegalSubdivision,LegalTownship,LegalTractNumber,LegalUnit,MSACode,MSAName,MetropolitanDivision,NeighborhoodCode,OwnerTypeDescription1,OwnerTypeDescription2,OwnershipVestingRelationCode,ParcelAccountNumber,ParcelNumberAlternate,ParcelNumberPrevious,ParcelNumberRaw,ParcelNumberYearAdded,ParcelNumberYearChange,ParkingCarport,ParkingGarage,ParkingGarageArea,ParkingSpaceCount,PartyOwner1NameFirst,PartyOwner1NameFull,PartyOwner1NameLast,PartyOwner1NameMiddle,PartyOwner1NameSuffix,PartyOwner2NameFirst,PartyOwner2NameFull,PartyOwner2NameLast,PartyOwner2NameMiddle,PartyOwner2NameSuffix,PartyOwner3NameFirst,PartyOwner3NameFull,PartyOwner3NameLast,PartyOwner3NameMiddle,PartyOwner3NameSuffix,PatioArea,PlumbingFixturesCount,PorchArea,PorchCode,PreviousAssessedValue,PropertyAddressCRRT,PropertyAddressCity,PropertyAddressFull,PropertyAddressHouseNumber,PropertyAddressState,PropertyAddressStreetDirection,PropertyAddressStreetName,PropertyAddressStreetPostDirection,PropertyAddressStreetSuffix,PropertyAddressUnitPrefix,PropertyAddressUnitValue,PropertyAddressZIP,PropertyAddressZIP4,PropertyJurisdictionName,PropertyLatitude,PropertyLongitude,PropertyUseGroup,PropertyUseMuni,PropertyUseStandardized,RoofConstruction,RoomsBasementArea,RoomsCount,SitusCounty,StatusOwnerOccupiedFlag,StoriesCount,StructureStyle,TaxAssessedImprovementsPerc,TaxAssessedValueImprovements,TaxAssessedValueLand,TaxAssessedValueTotal,TaxBilledAmount,TaxDelinquentYear,TaxExemptionAdditional,TaxExemptionDisabledFlag,TaxExemptionHomeownerFlag,TaxExemptionSeniorFlag,TaxExemptionVeteranFlag,TaxExemptionWidowFlag,TaxFiscalYear,TaxMarketImprovementsPerc,TaxMarketValueImprovements,TaxMarketValueLand,TaxMarketValueTotal,TaxMarketValueYear,TaxRateArea,TaxYearAssessed,TennisCourtFlag,TopographyCode,TotalRecords,TrustDescription,UnitsCount,UtilitiesSewageUsage,UtilitiesWaterSource,UtilityBuildingArea,UtilityBuildingFlag,ViewDescription,YearBuilt,YearBuiltEffective,ZonedCodeLocal
NATIONWIDE,160256585,100,13,68,65,51,84,25,88,27,36,68,16,27,56,9,88,88,98,20,54,32,94,97,97,88,73,97,97,82,97,94,97,97,76,100,22,21,98,43,78,99,99,52,3,29,30,30,17,0,25,21,24,99,43,51,18,14,100,100,62,49,38,99,69,5,9,3,29,30,65,31,84,4,87,87,18,43,91,20,100,48,18,33,100,60,41,36,44,31,32,75,100,99,48,3,25,25,25,15,0,13,15,15,8,0,15,15,27,21,98,74,97,88,80,100,18,88,5,81,6,6,96,74,100,93,93,100,90,100,34,15,31,100,76,58,30,62,63,78,95,89,2,6,1,14,2,1,0,98,57,58,73,83,82,63,100,99,18,100,33,53,20,21,2,2,83,67,30,41
AK,510980,100,25,44,43,34,65,0,65,0,6,83,7,16,29,20,54,54,100,19,27,10,70,72,71,49,66,72,71,48,72,70,72,72,78,100,1,1,91,24,80,100,100,52,3,20,20,20,13,0,15,15,0,82,17,29,22,0,100,100,39,31,43,100,65,0,13,0,30,30,64,29,55,1,54,54,0,37,99,17,100,18,18,19,100,25,50,22,27,22,20,77,100,100,48,3,18,18,18,12,0,13,16,16,9,0,16,16,17,13,98,41,64,57,55,100,16,57,0,56,5,5,64,39,100,60,60,100,50,100,2,12,18,100,76,37,24,48,48,66,70,59,2,6,1,12,4,1,0,71,48,48,65,70,70,49,100,100,18,5788777,20,25,30,30,0,0,52,44,27,42
AL,3098778,100,0,64,61,38,76,39,83,39,23,71,10,22,53,4,86,86,98,17,35,18,93,96,96,85,80,96,96,72,96,93,96,96,76,100,19,19,99,31,83,98,98,58,5,38,38,38,24,1,28,26,49,100,46,50,7,51,100,100,43,33,24,100,52,4,11,0,70,70,55,70,77,0,84,84,0,52,95,13,100,87,47,35,100,52,60,14,25,16,17,80,100,98,56,5,31,31,31,19,1,8,8,8,5,0,7,18,29,23,99,62,96,79,66,100,4,79,10,66,2,2,96,61,100,92,92,100,76,100,55,7,35,100,80,59,0,43,43,68,99,87,0,7,2,21,6,0,0,100,63,63,96,99,99,72,100,100,14,10374027,26,44,14,17,10,10,76,64,35,27
AR,2468653,100,44,51,48,40,81,18,82,18,40,90,31,72,44,2,74,74,99,26,21,44,92,95,95,78,83,95,95,65,95,91,94,94,85,100,10,10,98,28,73,100,100,42,3,33,34,34,16,0,18,16,45,99,46,40,0,1,100,100,40,33,27,100,49,3,0,0,69,69,65,69,73,0,70,70,0,0,98,15,100,53,3,8,100,62,49,21,34,20,15,70,100,100,39,3,27,28,28,12,0,11,13,13,5,0,30,0,41,39,93,53,94,74,59,100,15,74,3,60,1,1,94,52,100,88,88,100,11,100,44,3,1,100,79,53,3,53,53,86,90,87,0,9,0,21,0,0,0,98,52,52,86,90,89,53,100,100,7,6333241,31,33,0,0,14,14,72,41,3,1
AZ,3453742,100,5,72,71,69,92,0,93,0,61,85,10,11,52,3,98,98,99,30,66,61,95,97,98,89,80,97,98,83,97,95,96,96,86,100,5,5,95,65,68,99,99,45,2,33,33,33,19,0,1,1,3,100,63,66,0,1,100,100,83,75,15,100,89,7,44,42,92,91,89,92,98,19,98,98,0,55,93,9,100,19,0,6,100,61,8,57,60,11,55,65,100,100,41,2,31,31,31,18,0,4,6,6,3,0,5,50,10,6,98,75,96,85,84,100,76,85,1,79,7,7,96,76,100,93,93,100,99,100,43,0,42,100,63,72,2,57,57,74,96,94,2,4,0,1,0,0,0,100,63,63,87,99,98,96,100,99,0,98167606,44,55,5,4,1,1,98,74,7,54
CA,13270020,100,18,79,78,60,93,20,93,19,8,32,2,7,73,5,98,98,99,25,77,54,95,97,97,91,54,97,97,85,97,95,97,97,80,100,6,2,98,59,67,99,99,40,2,30,32,32,17,0,29,27,3,100,37,46,3,0,100,100,82,66,18,95,79,6,0,0,6,6,67,6,98,2,98,98,37,22,84,22,100,11,4,19,100,31,20,56,59,36,46,62,100,99,36,2,25,25,25,14,0,9,13,13,5,0,8,0,6,5,99,81,97,88,86,100,13,88,1,83,9,9,97,81,100,94,94,100,99,100,14,2,44,100,73,56,23,84,84,93,95,92,2,2,0,0,0,0,0,100,0,0,0,0,0,96,100,99,9,90695798,53,69,14,14,0,0,96,79,59,60
CO,2862777,100,33,74,73,68,87,9,91,11,55,89,37,62,69,4,86,86,92,23,60,56,95,99,99,89,64,99,99,83,99,95,99,99,88,99,4,3,98,50,75,98,98,54,2,30,30,30,20,0,38,30,21,99,41,70,25,37,100,100,70,60,60,99,82,10,61,0,75,75,87,76,86,4,82,82,0,71,85,23,100,63,23,55,100,76,54,53,57,51,36,73,100,99,51,2,23,23,23,16,0,16,17,17,11,0,25,24,46,31,98,74,95,85,83,100,26,85,1,79,11,11,95,74,100,91,91,100,85,100,49,40,47,100,75,67,64,65,66,80,96,93,2,5,0,0,1,0,0,99,73,73,88,97,96,59,100,99,19,14510643,36,61,6,6,1,2,85,74,43,35
CT,1359449,100,25,87,87,73,86,0,86,0,71,93,1,1,84,89,100,100,99,14,80,33,92,95,95,91,82,95,95,90,95,93,95,95,97,100,58,58,100,67,85,98,98,61,0,4,4,4,2,0,47,45,3,100,44,85,84,0,100,100,74,69,71,100,74,0,0,0,0,0,7,0,98,0,100,100,0,0,95,39,100,92,0,76,100,94,77,47,49,0,22,83,100,100,47,0,3,3,3,1,0,37,37,37,20,0,0,0,0,1,100,89,100,100,95,100,4,100,1,99,9,9,100,90,100,99,99,100,100,100,76,54,83,100,81,87,84,90,90,85,100,96,0,2,0,0,0,0,0,100,0,0,0,0,0,75,100,97,0,24876420,27,84,11,7,0,0,98,87,24,89
DC,235796,100,0,80,79,78,90,0,95,0,53,74,0,0,71,0,100,100,96,28,76,8,91,92,92,90,90,92,92,90,92,91,92,92,77,100,3,3,94,48,78,100,100,61,1,1,1,1,1,0,25,25,0,100,46,47,0,0,100,100,68,56,100,100,100,0,0,0,0,0,100,0,91,0,100,100,100,87,99,33,100,0,0,3,100,88,5,5,25,0,9,70,100,100,43,0,0,0,0,0,0,30,32,32,18,0,0,0,32,0,98,91,100,99,94,100,2,99,99,99,35,35,99,93,100,99,99,100,99,100,46,46,71,100,81,56,0,85,85,90,92,94,1,6,0,0,0,0,0,100,85,86,92,92,92,86,100,100,0,23579600,23,61,0,0,0,0,91,80,41,73
DE,500067,100,2,71,70,68,87,68,88,73,47,82,35,59,46,1,100,100,99,19,71,30,96,99,99,94,73,99,99,93,99,96,99,99,86,100,20,20,99,48,79,99,99,60,7,24,24,24,16,1,27,27,51,100,58,65,0,35,100,100,63,54,20,100,77,8,0,0,0,0,86,0,99,5,100,100,43,23,89,20,100,19,9,17,100,55,22,41,48,28,43,77,100,99,57,6,21,21,21,14,0,13,15,15,9,0,10,62,24,11,98,85,99,93,88,100,12,93,1,92,3,3,99,83,100,96,96,100,99,100,50,13,61,100,77,69,48,80,80,85,96,89,3,4,0,0,3,0,0,100,30,30,32,37,37,86,100,100,19,18297616,28,52,2,0,0,0,99,72,3,92
