state,stateTotalRecords,AreaBuilding,AreaBuildingDefinitionCode,AreaLotSF,AssessorLastSaleAmount,AssessorLastSaleDate,AssessorPriorSaleAmount,AssessorPriorSaleDate,BedroomsCount,CensusBlock,ContactOwnerMailAddressFull,ContactOwnerMailAddressInfoFormat,DeedOwner1NameFull,Fireplace,FireplaceCount,GeoQuality,LegalDescription,OwnerTypeDescription1,ParkingGarage,ParkingGarageArea,ParkingSpaceCount,PartyOwner1NameFull,PreviousAssessedValue,PropertyAddressFull,PropertyLatitude,PropertyLongitude,PropertyUseGroup,PropertyUseStandardized,RoofConstruction,RoomsCount,RoomsFamilyCode,RoomsGameFlag,StatusOwnerOccupiedFlag,StoriesCount,TaxAssessedValueImprovements,TaxAssessedValueTotal,TaxMarketValueImprovements,TaxMarketValueTotal,TaxMarketValueYear,TaxYearAssessed,UnitsCount,YearBuilt
NATIONWIDE,160256585,68,65,88,36,68,16,27,46,98,97,73,99,25,21,99,99,91,44,31,32,100,98,88,93,93,100,100,34,31,3,2,76,58,63,95,58,83,82,100,53,67
AK,510980,44,43,65,6,83,7,16,23,100,71,66,100,15,15,82,100,99,27,22,20,100,98,57,60,60,100,100,2,18,0,0,76,37,48,70,48,70,70,100,25,44
AL,3098778,64,61,83,23,71,10,22,17,98,96,80,98,28,26,100,100,95,25,16,17,100,99,79,92,92,100,100,55,35,0,0,80,59,43,99,63,99,99,100,44,64
AR,2468653,51,48,82,40,90,31,72,1,99,95,83,100,18,16,99,100,98,34,20,15,100,93,74,88,88,100,100,44,1,0,0,79,53,53,90,52,90,89,100,33,41
AZ,3453742,72,71,93,61,85,10,11,2,99,98,80,99,1,1,100,100,93,60,11,55,100,98,85,93,93,100,100,43,42,0,0,63,72,57,96,63,99,98,100,55,74
CA,13270020,79,78,93,8,32,2,7,73,99,97,54,99,29,27,100,95,84,59,36,46,100,99,88,94,94,100,100,14,44,10,0,73,56,84,95,0,0,0,100,69,79
CO,2862777,74,73,91,55,89,37,62,67,92,99,64,98,38,30,99,99,85,57,51,36,100,98,85,91,91,100,100,49,47,0,0,75,67,66,96,73,97,96,100,61,74
CT,1359449,87,87,86,71,93,1,1,83,99,95,82,98,47,45,100,100,95,49,0,22,100,100,100,99,99,100,100,76,83,0,5,81,87,90,100,0,0,0,100,84,87
DC,235796,80,79,95,53,74,0,0,69,96,92,90,100,25,25,100,100,99,25,0,9,100,98,99,99,99,100,100,46,71,0,0,81,56,85,92,86,92,92,100,61,80
DE,500067,71,70,88,47,82,35,59,60,99,99,73,99,27,27,100,100,89,48,28,43,100,98,93,96,96,100,100,50,61,19,1,77,69,80,96,30,37,37,100,52,72
FL,10935635,78,77,87,63,90,52,71,60,98,98,46,99,11,10,100,100,77,49,39,31,100,97,94,96,96,100,100,53,9,0,0,65,64,33,98,73,98,98,100,65,79
GA,4743998,79,77,92,49,79,34,55,57,96,94,65,98,54,44,99,98,89,45,36,28,100,99,96,97,97,100,100,52,39,4,1,75,75,80,99,81,99,98,100,70,79
HI,601447,79,77,70,43,92,35,75,73,99,95,82,99,1,1,100,85,97,68,30,54,100,98,94,95,95,100,100,72,76,9,0,58,78,74,98,74,98,97,100,66,79
IA,2701199,49,49,92,36,73,24,43,43,95,96,87,99,17,15,99,99,97,39,34,34,100,98,59,93,93,100,100,44,41,0,5,89,46,52,93,51,93,92,100,18,50
ID,1148279,58,57,90,5,32,0,0,50,98,98,88,100,25,14,99,100,99,42,38,37,100,96,77,90,90,100,100,28,17,0,1,82,45,65,91,65,90,90,100,22,59
IL,6135835,52,47,86,36,60,11,15,37,99,97,72,99,17,14,99,98,93,44,19,34,100,98,87,95,95,100,100,27,14,0,2,79,46,76,95,73,86,85,100,44,59
IN,3658939,69,68,99,2,84,0,0,60,98,98,89,99,26,26,99,100,98,56,54,54,100,98,99,96,96,100,100,63,59,14,6,81,69,71,94,72,94,94,100,50,73
KS,1676178,65,65,98,19,27,9,2,59,99,92,89,100,27,26,100,100,100,54,43,51,100,99,92,95,95,100,100,59,59,20,1,84,61,63,93,65,96,96,100,42,66
KY,2467051,61,60,75,44,63,18,24,38,96,95,89,100,18,13,99,98,98,42,25,30,100,96,96,93,93,100,100,48,16,8,0,83,57,35,95,34,93,93,100,23,53
LA,2698248,35,32,55,38,74,4,10,13,98,97,92,100,3,3,99,100,99,10,8,5,100,97,81,83,83,100,100,6,8,0,0,84,10,69,99,68,96,96,100,37,28
MA,2582991,85,85,89,72,91,0,1,80,99,95,80,98,35,33,100,100,93,32,0,15,100,98,100,98,98,100,100,74,77,0,1,77,84,87,99,0,0,0,100,81,85
MD,2399039,84,83,97,67,93,53,71,0,100,99,94,100,83,37,100,100,98,86,40,38,100,99,99,94,94,100,100,71,0,0,0,80,75,36,98,86,98,98,100,93,85
ME,708056,62,61,90,22,50,0,1,51,99,94,77,98,10,10,100,100,95,18,0,1,100,98,98,98,98,100,100,46,45,0,1,71,55,88,99,0,0,0,100,50,59
MI,5506716,58,57,85,41,60,16,26,33,98,98,67,99,26,23,99,100,90,48,43,42,100,98,93,97,97,100,100,7,19,0,2,69,48,9,88,9,88,87,100,46,56
