"Recorder Data Code Values",,,,,,,,,,,
,,,,,,,,,,,
DocumentTypeCode,,,,,,,,,,,
,"Document Type Code","Document Type Description",,,,,,,,,
,NULL,"Unknown or not provided",,,,,,,,,
,DTAA,"ASSIGNMENT OF SUB AGREEMENT OF SALE",,,,,,,,,
,DTAB,"ASSIGNMENT OF SUB LEASE",,,,,,,,,
,DTAC,"ASSIGNMENT OF COMMERCIAL LEASE",,,,,,,,,
,DTAD,"ADMINISTRATORS DEED",,,,,,,,,
,DTAF,AFFIDAVIT,,,,,,,,,
,DTAG,"AGREEMENT OF SALE",,,,,,,,,
,DTAH,"ASSESSOR SALES HISTORY",,,,,,,,,
,DTAL,"QUIT CLAIM ARM'S LENGTH FOR NE STATES",,,,,,,,,
,DTAO,"ASSIGNMENT OF DEED OF TRUST",,,,,,,,,
,DTAR,"ASSIGNMENT OF AGREEMENT OF SALE",,,,,,,,,
,DTAS,"ASSIGNMENT OF DEED",,,,,,,,,
,DTAT,"AFFIDAVIT OF TRUST OR TRUST AGGREMENT",,,,," ",,,,
,DTAU,"ASSIGNMENT OF SUB COMMERCIAL LEASE",,,,,,,,,
,DTBD,"BENEFICIARY DEED",,,,,,,,,
,DTBK,BANKRUPTCY,,,,,,,,,
,DTBS,"BARGAIN AND SALE DEED",,,,,,,,,
,DTCA,"COMMISSIONERS ASSIGNMENT OF LEASE",,,,,,,,,
,DTCD,"CONDOMINIUM DEED",,,,,,,,,
,DTCE,COMMITTEE,,,,,,,,,
,DTCF,"ONE OF COMMITTEE, STRICT FORECLOSURE, SHERIFF, OR REDEMPTION DEEDS",,,,,,,,,
,DTCH,"CASH SALE DEED",,,,,,,,,
,DTCL,"COMMERCIAL LEASE",,,,,,,,,
,DTCM,"COMMISSIONERS DEED",,,,,,,,,
,DTCN,"CANCELLATION OF AGREEMENT OF SALE",,,,,,,,,
,DTCO,"CONSERVATORS DEED",,,,,,,,,
,DTCP,"CORPORATION DEED",,,,,,,,,
,DTCR,"CORRECTION DEED",,,,,,,,,
,DTCS,"CONTRACT SALE",,,,,,,,,
,DTCT,"CERTIFICATE OF TRANSFER",,,,,,,,,
,DTCV,CONVEYANCE,,,,,,,,,
