"Loan Model Codes",,,
,,,
"Field #","Field Name",Code,Description
9,"Current First Position Open Loan Type ",NULL,Unknown
9,"Current First Position Open Loan Type ",p,Purchase
9,"Current First Position Open Loan Type ",R,Refinance
9,"Current First Position Open Loan Type ",E,Equity
12,CurrentFirstPositionOpenLoanLenderInfoEntityClassification,n/a,"No Longer Supported"
13,CurrentFirstPositionOpenLoanInterestRateType,0,UNKNOWN
13,CurrentFirstPositionOpenLoanInterestRateType,1,"ADJUSTABLE RATE"
13,CurrentFirstPositionOpenLoanInterestRateType,2,"FIXED RATE"
15,CurrentFirstPositionMortgageType,0,"UNKNOWN / NOT AVAILABLE"
15,CurrentFirstPositionMortgageType,3,"BUILDING OR CONSTRUCTION"
15,CurrentFirstPositionMortgageType,6,"LINE OF CREDIT"
15,CurrentFirstPositionMortgageType,8,FHA
15,CurrentFirstPositionMortgageType,10,CONVENTIONAL
15,CurrentFirstPositionMortgageType,11,"CONVENTIONAL WITH PMI"
15,CurrentFirstPositionMortgageType,16,"VETERANS ADMINISTRATION"
15,CurrentFirstPositionMortgageType,101,"USDA - US DEPT OF AGRICULTURE"
15,CurrentFirstPositionMortgageType,102,"FARMERS HOME ADMINISTRATION"
15,CurrentFirstPositionMortgageType,103,COMMERCIAL
15,CurrentFirstPositionMortgageType,104,"STATE VETERANS"
15,CurrentFirstPositionMortgageType,105,"REVERSE MORTGAGE"
15,CurrentFirstPositionMortgageType,121,ASSUMPTION
15,CurrentFirstPositionMortgageType,122,BALLOON
15,CurrentFirstPositionMortgageType,123,"ARM (ADJUSTABLE RATE MORTGAGE)"
15,CurrentFirstPositionMortgageType,124,"CLOSED END MORTGAGE"
15,CurrentFirstPositionMortgageType,125,"SELLER TAKE-BACK"
15,CurrentFirstPositionMortgageType,126,"STAND ALONE FIRST"
15,CurrentFirstPositionMortgageType,127,"STAND ALONE REFI"
15,CurrentFirstPositionMortgageType,128,"STAND ALONE SECOND"
15,CurrentFirstPositionMortgageType,130,"SECOND MORTGAGE TO COVER DOWN PYMT"
15,CurrentFirstPositionMortgageType,131,"LAND CONTRACT (ARGMT OF SALE)"
15,CurrentFirstPositionMortgageType,132,"LOAN MODIFICATION"
15,CurrentFirstPositionMortgageType,133,"SMALL BUSINESS ASSOC"
15,CurrentFirstPositionMortgageType,135,"NEGATIVE AMORTIZATION"
20,CurrentSecondPositionOpenLoanType,NULL,Unknown
20,CurrentSecondPositionOpenLoanType,p,Purchase
20,CurrentSecondPositionOpenLoanType,R,Refinance
20,CurrentSecondPositionOpenLoanType,E,Equity
