"MSA Code",,
"MSA Code",State,"MSA Name"
0450,Alabama,"ANNISTON                                                                                                                                              "
1000,Alabama,"BIRMINGHAM                                                                                                                                            "
1800,Alabama,"COLUMBUS (GA-AL)                                                                                                                                      "
2030,Alabama,"DECATUR                                                                                                                                             "
2180,Alabama,"DOTHAN                                                                                                                                                "
2650,Alabama,"FLORENCE                                                                                                                                              "
2880,Alabama,"GADSDEN                                                                                                                                               "
3440,Alabama,"HUNTSVILLE                                                                                                                                            "
5160,Alabama,"MOBILE                                                                                                                                                "
5240,Alabama,"MONTGOMERY                                                                                                                                            "
8600,Alabama,"TUSCALOOSA                                                                                                                                            "
0380,Alaska,"ANCHORAGE                                                                                                                                             "
2620,Arizona,"FLAGSTAFF (AZ-UT)                                                                                                                                     "
4120,Arizona,"LAS VEGAS (NV-AZ)                                                                                                                                     "
6200,Arizona,"PHOENIX-MESA                                                                                                                                          "
8520,Arizona,"TUCSON                                                                                                                                                "
9360,Arizona,"YUMA                                                                                                                                                  "
2580,Arkansas,"FAYETTEVILLE-SPRINGDALE-ROGERS                                                                                                                        "
2720,Arkansas,"FORT SMITH (AR-OK)                                                                                                                                    "
3700,Arkansas,JONESBORO
4400,Arkansas,"LITTLE ROCK-NORTH LITTLE ROCK                                                                                                                         "
4920,Arkansas,"MEMPHIS (TN-AR-MS)                                                                                                                                    "
6240,Arkansas,"PINE BLUFF                                                                                                                                            "
8360,Arkansas,"TEXARKANA (TX)-TEXARKANA (AR)                                                                                                                         "
0680,California,"BAKERSFIELD                                                                                                                                           "
1620,California,"CHICO-PARADISE                                                                                                                                        "
2840,California,"FRESNO                                                                                                                                                "
4480,California,"LOS ANGELES-LONG BEACH                                                                                                                                "
4940,California,"MERCED                                                                                                                                                "
5170,California,"MODESTO                                                                                                                                               "
5775,California,"OAKLAND                                                                                                                                               "
5945,California,"ORANGE COUNTY                                                                                                                                         "
6690,California,"REDDING                                                                                                                                               "
6780,California,"RIVERSIDE-SAN BERNARDINO                                                                                                                              "
