"Minor Civil Division Code",,,,,,,,,,,
USPS,FIPS,"Minor Civil Division Code",ANSICODE,NAME,FUNCSTAT,INTPTLAT,INTPTLONG,,,FUNCSTAT,Definition
AK,02013,01598,01939933,"Aleutians East census subarea",S," 55.245044",-161.997477,,,A,"Active government providing primary general-purpose functions"
AK,02016,01615,01939934,"Aleutians West census subarea",S," 51.959447",+178.338813,,,B,"Active government that is partially consolidated with another "
AK,02020,03050,01939927,"Anchorage census subarea",S," 61.174250",-149.284329,,,,"government but with separate officials providing primary"
AK,02050,03580,01939929,"Aniak census subarea",S," 61.468804",-156.692206,,,," general-purpose functions"
AK,02060,09050,01939931,"Bristol Bay census subarea",S," 58.730158",-156.996632,,,C,"Active government consolidated with another government with"
AK,02261,14420,01939932,"Chugach census subarea",S," 60.488474",-146.203092,,,," a single set of officials"
AK,02261,17350,01939935,"Copper River census subarea",S," 62.034479",-143.922167,,,E,"Active government providing specialpurpose functions"
AK,02068,18765,01939937,"Denali census subarea",S," 63.681106",-150.026544,,,F,"Fictitious Entity created to fill the Census Bureau's geographic hierarchy"
AK,02070,19000,01939938,"Dillingham census subarea",S," 60.297320",-158.094726,,,G,"Active government that is subordinate to another unit of govt."
AK,02090,24450,01939940,"Fairbanks North Star census subarea",S," 64.692317",-146.601733,,,I,"Inactive governmental unit that has the power to provide primary "
AK,02100,31160,01939941,"Haines census subarea",S," 59.098771",-135.576936,,,,"special-purpose functions"
AK,02105,33390,01939943,"Hoonah-Angoon census subarea",S," 58.403336",-135.884909,,,L,"Inactive, nonfunctioning legal real property entity with potential "
AK,02198,34575,02548100,"Hyder census subarea",S," 55.954701",-130.183981,,,,"quasi-legal administrative functions"
AK,02110,36450,01939945,"Juneau census subarea",S," 58.372910",-134.178445,,,M,"Active legal real property entity with quasi-legal functions"
AK,02122,38460,01939946,"Kenai-Cook Inlet census subarea",S," 60.366668",-152.322283,,,N,"Nonfunctioning legal entity"
AK,02130,39010,01939947,"Ketchikan census subarea",S," 55.449938",-131.106685,,,S,"Statistical Entity"
AK,02105,40560,01939948,"Klukwan census subarea",S," 59.399766",-135.886877,,,T,"Active State -recognized entity"
AK,02150,41200,01939949,"Kodiak Island census subarea",S," 57.502015",-153.563512,,,,
AK,02290,42080,01939951,"Koyukuk-Middle Yukon census subarea",S," 65.882327",-153.221542,,,,
AK,02158,42185,01939969,"Kusilvak census subarea",S," 62.283060",-163.190903,,,,
AK,02164,42780,01939952,"Lake and Peninsula census subarea",S," 58.205065",-156.705188,,,,
AK,02050,45510,01939953,"Lower Kuskokwim census subarea",S," 60.385009",-162.684337,,,,
AK,02170,47440,01939955,"Matanuska-Susitna census subarea",S," 62.279075",-149.617562,,,,
AK,02290,46060,01939954,"McGrath-Holy Cross census subarea",S," 62.860095",-157.058167,,,,
AK,02198,48873,01939956,"Metlakatla Indian Community census subarea",S," 55.138352",-131.470424,,,,
AK,02180,54970,01939957,"Nome census subarea",S," 64.783686",-164.188912,,,,
AK,02185,55970,01939958,"North Slope census subarea",S," 69.449343",-153.472830,,,,
AK,02188,56270,01939959,"Northwest Arctic census subarea",S," 67.005066",-160.021086,,,,
AK,02195,60360,01939961,"Petersburg census subarea",S," 57.112458",-133.008598,,,,
AK,02198,64310,01939962,"Prince of Wales census subarea",S," 55.682773",-133.162389,,,,
AK,02122,68610,01939944,"Seward-Hope census subarea",S," 60.089529",-149.573522,,,,
AK,02220,70590,01939966,"Sitka census subarea",S," 57.193204",-135.367396,,,,
AK,02230,70810,01939967,"Skagway census subarea",S," 59.575097",-135.335418,,,,
AK,02240,72030,01939968,"Southeast Fairbanks census subarea",S," 63.864997",-143.218628,,,,
AK,02275,86420,01939970,"Wrangell census subarea",S," 56.180779",-132.026788,,,,
AK,02282,86498,01939972,"Yakutat census subarea",S," 60.007062",-140.148108,,,,
AK,02290,86690,01939973,"Yukon Flats census subarea",S," 67.074018",-144.751201,,,,
AL,01067,90009,00165797,"Abbeville CCD",S," 31.596575",-85.304312,,,,
AL,01125,90018,00165970,"Abernant CCD",S," 33.274814",-87.170847,,,,
AL,01133,90027,00161625,"Addison CCD",S," 34.169775",-87.207168,,,,
AL,01117,90036,00165947,"Alabaster-Helena CCD",S," 33.273307",-86.806454,,,,
AL,01131,90045,00165996,"Alberta CCD",S," 32.151807",-87.404639,,,,
AL,01095,90054,00165884,"Albertville-Boaz CCD",S," 34.249085",-86.199533,,,,
AL,01123,90063,00165966,"Alexander City CCD",S," 32.933888",-85.947092,,,,
AL,01015,90066,00165679,"Alexandria-Webster Chapel CCD",S," 33.846742",-85.891331,,,,
AL,01107,90072,01935003,"Aliceville CCD",S," 33.143676",-88.111187,,,,
AL,01055,90081,00165768,"Altoona CCD",S," 34.054488",-86.258455,,,,
AL,01039,90090,00161609,"Andalusia CCD",S," 31.330760",-86.527061,,,,
AL,01015,90099,00161600,"Anniston CCD",S," 33.671051",-85.876956,,,,
AL,01095,90108,00165885,"Arab CCD",S," 34.341493",-86.489668,,,,
AL,01027,90126,00165702,"Ashland CCD",S," 33.218176",-85.786307,,,,
AL,01115,90135,00165942,"Ashville CCD",S," 33.878358",-86.241384,,,,
AL,01083,90144,00161617,"Athens CCD",S," 34.821342",-86.974753,,,,
AL,01053,90153,00165764,"Atmore CCD",S," 31.053063",-87.460100,,,,
AL,01081,90162,00165846,"Auburn-Opelika CCD",S," 32.625435",-85.412513,,,,
AL,01001,90171,00161593,"Autaugaville CCD",S," 32.457413",-86.729003,,,,
AL,01043,90180,00165728,"Baileyton-Joppa CCD",S," 34.261643",-86.568319,,,,
AL,01005,90189,00165654,"Bakerhill CCD",S," 31.763418",-85.271865,,,,
AL,01109,90198,00165928,"Banks-Josie CCD",S," 31.845790",-85.792870,,,,
AL,01003,90207,00161594,"Bay Minette CCD",S," 30.809659",-87.706187,,,,
AL,01097,90216,00165891,"Bayou La Batre CCD",S," 30.319081",-88.209662,,,,
