,,"5.0 PRE-FORECLOSURE LAYOUT
(DEFAULT)","Version
4",,
,,,,,
,,,,,
,,,,,
,,,,,
No.,"5.0 Field Name","5.0 Description",DataType,"Max
Length","Edit Details"
1,TransactionID,"The unique transaction identifier for the transaction.",int,12,"11/2017 - Description updated"
2,"ATTOM ID","ATTOM Data's Unique parcel identifier.",int,12,"11/2017 - Description updated"
3,RecordType,"Type of Default Document",varchar,3,"11/2017 - Description updated"
4,SitusStateCode,"State where the property is situated.",varchar,2,"11/2017 - Description updated"
5,SitusCounty,"County where the property is situated.",varchar,50,"11/2017 - Description updated"
6,PropertyJurisdictionName,"Name of the tax jurisdiction.  This is typically the county with some exceptions.  Exceptions are primarily in the New England area where the townships are the taxing authorities.",varchar,50,.
7,SitusStateCountyFIPS,"State and county FIPS code where subject property is geographically located.",char,5,"11/2017 - Description updated"
8,ParcelNumberFormatted,"Primary Parcel Number and unique identifier within the county/jurisdiction",varchar,60,"11/2017 - Description updated"
9,PropertyAddressFull,"123 1/2 N Main St  - Full site address line.",varchar,150,"11/2017 - Description updated"
10,PropertyAddressHouseNumber,"123 1/2 N Main St  - Site address house number and fraction.",varchar,25,"11/2017 - Description updated"
11,PropertyAddressStreetDirection,"123 1/2 N Main St  - Site address pre directional.",varchar,10,"11/2017 - Description updated"
12,PropertyAddressStreetName,"123 1/2 N Main St  - Site address street name.",varchar,100,"11/2017 - Description updated"
13,PropertyAddressStreetSuffix,"123 1/2 N Main St  - Site address street name suffix.",varchar,25,"11/2017 - Description updated"
14,PropertyAddressStreetPostDirection,"100 Center NW Pl., Unit 4a - Site address post-directional.",varchar,10,"11/2017 - Description updated"
15,PropertyAddressUnitPrefix,"100 Center NW Pl., Unit 4a - Site address unit number Prefix.",varchar,20,"11/2017 - Description updated"
16,PropertyAddressUnitValue,"100 Center NW Pl., Unit 4a - Site address unit number.",varchar,25,"11/2017 - Description updated"
17,PropertyAddressCity,"Anytown CA 90001-0001 CR0523 - Site address city name.",varchar,50,"11/2017 - Description updated"
18,PropertyAddressState,"Anytown CA 90001-0001 CR0523 - Site address state.",varchar,2,"11/2017 - Description updated"
19,PropertyAddressZIP,"Anytown CA 90001-0001 CR0523 - Site address Zip Code.",varchar,5,"11/2017 - Description updated"
20,PropertyAddressZIP4,"Anytown CA 90001-0001 CR0523 - Site address Zip  Plus 4 code.",varchar,4,"11/2017 - Description updated"
21,PropertyAddressCRRT,"Anytown CA 90001-0001 CR0523 - Site address Carrier Route.",varchar,4,"11/2017 - Description updated"
22,PropertyAddressInfoPrivacy,"Indicator of whether is a legal restriction on the property address being used for marketing.",varchar,1,"11/2017 - Description updated"
23,PropertyLatitude,"Latitude based on Situs Address.",float,10,"11/2017 - Description updated"
24,PropertyLongitude,"Longitude based on Situs Address.",float,11,"11/2017 - Description updated"
25,GeoQuality,"Code to indicate the level of quality of the geocodes as determined by the geocoding process.",varchar,20,.
26,ZonedCodeLocal,"The jurisdiction-specific zoned use value.  Typically codified by the controlling jurisdiction.",varchar,50,.
27,PropertyUseMuni,"County-specific use code which is used to map the PropertyUseStandardized field.",varchar,10,.
28,PropertyUseGroup,"General property type description; residential, commercial, other, etc.",varchar,50,.
29,PropertyUseStandardized,"Standardized value to describe the property's intended land use.  Derived from specific land use information obtained from the Assessor.",varchar,4,"11/2017 - Description updated"
30,BathCount,"Sum of bathrooms on the property.",decimal,6,"11/2017 - Description updated"
31,BedroomsCount,"Sum of bedrooms on the property.",int,2,"11/2017 - Description updated"
32,AreaBuilding,"Total / Gross building square footage.",int,9,"11/2017 - Description updated"
33,AreaBuildingDefinitionCode,"Details the area described by the AreaBuilding value.",varchar,2,.
34,AreaLotSF,"Indicates the lot size, in square feet.","decimal(12, 2)",14,.
35,AreaLotAcres,"Indicates the lot size, in acres.","decimal(18, 7)",20,.
36,YearBuilt,"Year built of the primary structure.",smallint,4,"11/2017 - Description updated"
37,YearBuiltEffective,"Adjusted year built based on condition and / or major structural changes of the structure.",smallint,4,"11/2017 - Description updated"
38,OriginalLoanRecordingDate,"Contains the official filing date for the original loan transaction that is normally stamped or printed on the document in YYYY-MM-DD format.",date,10,.
39,OriginalLoanInstrumentNumber,"Recorder's Instrument Number of the original loan document.",varchar,50,.
40,OriginalLoanBookPage,"Book and page of the original loan document.",varchar,15,.
41,BorrowerNameOwner,"Mortgagee, concatenated name(s) of borrower in default.",varchar,100,.
42,OriginalLoanLoanNumber,"Original loan account number of loan in default or HOA. If HOA, indicates an HOA notice.",varchar,25,.
43,OriginalLoanAmount,"Original amount of loan in default.","numeric(19, 4)",19,.
44,OriginalLoanInterestRate,"Interest rate of the original loan in default.",numeric,5,.
45,LoanMaturityDate,"Maturity date of loan in default in YYYY-MM-DD format.",date,10,.
46,LenderNameFullStandardized,"Full lender name, standardized to manage abbreviations, remove misspelling, etc.  Partner field to Lender code.  Can be used for lender matching.",varchar,250,"02/2018 - Description updated"
47,LenderAddress,"123 1/2 N Main St  - Lender's Full site address line.",varchar,100,"11/2017 - Description updated"
48,LenderAddressHouseNumber,"123 1/2 N Main St  - Lender's Site address house number and fraction.",varchar,25,"11/2017 - Description updated"
49,LenderAddressStreetDirection,"123 1/2 N Main St  - Lender's Site address pre directional.",varchar,10,"11/2017 - Description updated"
50,LenderAddressStreetName,"123 1/2 N Main St  - Lender's Site address street name.",varchar,100,"11/2017 - Description updated"
51,LenderAddressStreetSuffix,"123 1/2 N Main St  - Lender's Site address street name suffix.",varchar,10,"11/2017 - Description updated"
