StateCode,CountyName,StateFIPs,CountyFIPs,Judicial/Non-Judicial,MinRecordingDate,NOD_DocumentCount,NOD_MaxRecordingDate,NTS_DocumentCount,NTS_MaxRecordingDate,LP_DocumentCount,LP_MaxRecordingDate,NOS_DocumentCount,NOS_MaxRecordingDate
AK,Anchorage,02,020,Non-Judicial,2000-01-18,1216,2019-05-09,9858,2021-09-21,0,,1,
AK,Fairbanks North Star,02,090,Non-Judicial,2007-07-06,123,2019-05-15,362,2021-10-01,0,,0,
AK,Haines,02,100,Non-Judicial,,0,,2,,0,,0,
AK,Juneau,02,110,Non-Judicial,2008-08-27,63,2019-04-17,174,2012-10-21,0,,0,
AK,Kenai Peninsula,02,122,Non-Judicial,2005-08-05,170,2019-03-29,1094,2021-09-20,0,,0,
AK,Ketchikan Gateway,02,130,Non-Judicial,2006-04-04,6,2019-04-24,41,2006-04-04,0,,0,
AK,Kodiak Island,02,150,Non-Judicial,2007-11-11,0,,43,2007-11-11,0,,0,
AK,Matanuska-susitna,02,170,Non-Judicial,2005-08-06,315,2016-04-11,3408,2014-06-08,0,,0,
AK,Nome,02,180,Non-Judicial,2015-09-04,1,2015-09-04,4,,0,,0,
AK,Sitka,02,220,Non-Judicial,2021-06-17,0,,15,2021-06-17,0,,0,
AK,Valdez-cordova,02,261,Non-Judicial,,0,,2,,0,,0,
AK,Wrangell City And Borough,02,275,Non-Judicial,,0,,1,,0,,0,
AL,Autauga,01,001,Non-Judicial,2005-07-28,1,,1378,2020-10-27,0,,1,
AL,Baldwin,01,003,Non-Judicial,2005-12-04,5,2007-01-02,10201,2020-10-06,1,2009-05-29,0,
AL,Barbour,01,005,Non-Judicial,2007-01-21,1,,417,2020-07-14,0,,0,
AL,Bibb,01,007,Non-Judicial,2006-09-28,0,,179,2020-10-21,0,,0,
AL,Blount,01,009,Non-Judicial,2005-12-15,1,,1633,2020-10-21,0,,0,
AL,Bullock,01,011,Non-Judicial,2006-11-02,0,,28,2020-06-03,0,,0,
AL,Butler,01,013,Non-Judicial,2005-12-18,0,,303,2020-11-03,0,,0,
AL,Calhoun,01,015,Non-Judicial,2005-08-11,3,2007-10-16,4102,2020-10-27,0,,0,
AL,Chambers,01,017,Non-Judicial,2006-01-02,1,,330,2020-10-21,0,,0,
AL,Cherokee,01,019,Non-Judicial,2006-04-20,0,,180,2020-05-13,0,,0,
AL,Chilton,01,021,Non-Judicial,2007-10-26,0,,342,2020-10-27,0,,0,
AL,Choctaw,01,023,Non-Judicial,2019-09-24,0,,27,2019-11-06,0,,0,
AL,Clarke,01,025,Non-Judicial,2013-11-21,0,,139,2020-07-07,0,,0,
AL,Clay,01,027,Non-Judicial,2007-11-02,0,,76,2020-02-18,0,,0,
AL,Cleburne,01,029,Non-Judicial,2008-09-11,0,,38,2018-02-27,0,,0,
AL,Coffee,01,031,Non-Judicial,2006-07-14,1,2007-02-12,1052,2020-06-16,0,,0,
AL,Colbert,01,033,Non-Judicial,2005-12-22,0,,301,2020-09-09,0,,0,
AL,Conecuh,01,035,Non-Judicial,2007-04-20,0,,50,2020-04-08,0,,0,
AL,Coosa,01,037,Non-Judicial,2009-01-02,0,,17,2019-01-19,0,,0,
AL,Covington,01,039,Non-Judicial,2007-01-21,0,,235,2020-07-08,0,,0,
