"RT Standard Field Name","Field Definition","Field Data Type","Field Size","Acceptable Value","Value Definition"
RTPropertyUniqueIdentifier,"A RealtyTrac integer identifier for the property",int,,,
RTUniqueFCIdentifier,"A RealtyTrac integer identifier for the foreclosure event",int,,,
JurisdictionCountyFIPS,"The five-digit state and county Federal Information Processing Standards (FIPS) code combination of the jurisdiction ",char,5,,
RecordType,"The type of foreclosure event that this record represents ",varchar,3,LIS,"Lis Pendens"
RecordType,,,,NOD,"Notice of Default"
RecordType,,,,NOS,"Notice of Foreclosure Sale"
RecordType,,,,NTS,"Notice of Trustee Sale"
BorrowerNameOrOwner,"The mortgagee(s), listed as a concatenated name(s) of the borrower(s) in default",varchar,100,,
LenderName,"The lender name from the foreclosure activity document, typically the most current beneficiary",varchar,200,,
LenderAddress,"The lender's parsed address from the foreclosure event document",varchar,100,,
LenderCity,"The lender parsed city name from the foreclosure event document",varchar,50,,
LenderState,"The lender parsed state code from the foreclosure event document",varchar,2,,
LenderZip,"The Lender parsed zip code from the foreclosure event document",varchar,10,,
LenderPhone,"The lender phone number from the foreclosure event document",varchar,50,,
CleanLenderName,"The cleaned, formatted version of the lender's name from foreclosure event document",varchar,500,,
ParentLenderName,"The parent company of the lender",varchar,250,,
MergerParentName,"The merged company of the lender",varchar,250,,
ServicerName,"The servicer's entity, populated when available",varchar,100,,
ServicerAddress,"The servicer's address",varchar,100,,
ServicerCity,"The servicer's city name ",varchar,50,,
ServicerPhone,"The servicer's phone number",varchar,25,,
ServicerState,"The servicer's state code",varchar,25,,
ServicerZip,"The servicer's zip code",varchar,25,,
TrusteeName,"The trustee or attorney handling the foreclosure event",varchar,100,,
TrusteeAddress,"The trustee parsed address",varchar,100,,
TrusteeCity,"The trustee parsed city name",varchar,20,,
TrusteeState,"The trustee parsed state code",varchar,2,,
TrusteeZip,"The trustee parsed zip code",varchar,15,,
TrusteePhone,"The trustee phone number",varchar,20,,
FCDocRecordingDate,"The date which the court clerk officially recorded the foreclosure event document in the county records",date,,,
FCDocInstrumentNumber,"The official number assigned at document recording by the clerk of the court to track a document. This is a unique identifier at the document level and unique only within the county",varchar,50,,
FCDocBookPage,"The foreclosure event document book and page ",varchar,50,,
FCDocInstrumentDate,"The date when the foreclosure instrument was created",date,,,
RelatedDocumentInstrumentNumber,"The Mortgage Document Number",varchar,50,,
RelatedDocDocumentBookPage,"The original loan book page number of the foreclosure event document",varchar,15,,
RelatedDocumentRecordingDate,"The recording date of original mortgage document",varchar,20,,
RecordedAuctionDate,"The public auction date from the foreclosure event document",date,,,
RecordedOpeningBid,"The opening bid as recorded on the foreclosure event document",int,8,,
CaseNumber,"An unique identifier established by the court in a judicial foreclosure proceeding. NOTE: this is not a document level identifier, rather it is case level. A case consists of many documents. ",varchar,25,,
TrusteeReferenceNumber,"The unique number assigned by the trustee to track status of foreclosure and auction proceedings.",varchar,20,,
Payment,"The regular monthly payment from related mortgage document",int,8,,
LoanNumber,"The original loan account number of loan in default",varchar,25,,
LoanMaturityDate,"The maturity date of loan in default",date,,,
DefaultAmount,"The total amount of payments in arrears, or delinquent.",int,8,,
OriginalLoanAmount,"The original amount of loan in default",int,8,,
PenaltyInterest,"The amount of penalty interest accrued",int,8,,
LoanBalance,"The remaining balance on defaulted loan",int,8,,
InterestRate,"The interest rate of loan in default",decimal,"5,3",,
JudgmentDate,"The date of final judgment, if a lis pendens case",date,,,
JudgmentAmount,"The amount of final judgment amount, including fees and interest",int,8,,
AuctionCourthouse,"The name or description of courthouse hosting the public auction",varchar,50,,
AuctionAddress,"The location of public auction",varchar,300,,
AuctionCityState,"The parsed city and state of the public auction",varchar,30,,
AuctionTime,"The time the public auction will begin",varchar,20,,
CreateDate,"The date of subject property record creation for this document",date,,,
LastUpdated,"The date when the record data was last updated",date,,,
PublicationDate,"The date when the record data was included for publication",date,,,
ProcessIndicator,"An indicator for suggested record processing",char,1,I,"New record to be inserted"
ProcessIndicator,,,,U,"Existing record to be updated"
EstimatedValue,"Automated Valuation Model estimate of value at the time of foreclosure document recording",int,,,
