"[ATTOM ID]",EstimatedValue,EstimatedMinValue,EstimatedMaxValue,CreateDate,ValuationDate,ConfidenceScore,FSD,LastUpdateDate,PublicationDate
322445384,38415,36494,40335,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
322445473,206781,198509,215052,2022/03/01,2022/02/24,96,4,2022/03/01,2022/03/10
299937078,17938,17579,18296,2022/03/01,2022/02/24,98,2,2022/03/01,2022/03/10
322445481,283185,269025,297344,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
322445381,92625,87993,97256,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
322445419,337344,320476,354211,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
322445374,56160,53352,58968,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
299487126,152878,146762,158993,2022/03/01,2022/02/24,96,4,2022/03/01,2022/03/10
299491113,28798,27646,29949,2022/03/01,2022/02/24,96,4,2022/03/01,2022/03/10
299497431,56826,54552,59099,2022/03/01,2022/02/24,96,4,2022/03/01,2022/03/10
299935862,391601,379852,403349,2022/03/01,2022/02/24,97,3,2022/03/01,2022/03/10
299935869,354793,347697,361888,2022/03/01,2022/02/24,98,2,2022/03/01,2022/03/10
299935874,317834,311477,324190,2022/03/01,2022/02/24,98,2,2022/03/01,2022/03/10
311349031,19275,18311,20238,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349069,50091,47586,52595,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349096,51242,48679,53804,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349110,46604,44273,48934,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349270,54923,52176,57669,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349355,53259,50596,55921,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
299935865,358260,351094,365425,2022/03/01,2022/02/24,98,2,2022/03/01,2022/03/10
311349386,50799,48259,53338,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349068,144900,143451,146349,2022/03/01,2022/02/24,99,1,2022/03/01,2022/03/10
311349128,35577,33798,37355,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349045,61738,58651,64824,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349127,39560,37582,41538,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349305,104536,99309,109762,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349042,35258,33495,37020,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349018,25771,24482,27059,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349061,51755,49167,54342,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349070,38993,37043,40942,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349071,29417,27946,30887,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349074,24603,23372,25833,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349269,25718,24432,27003,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349329,110731,105194,116267,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349370,130042,123539,136544,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349371,94872,90128,99615,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349799,58835,55893,61776,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349801,55897,53102,58691,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349334,66180,62871,69489,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349051,20090,19085,21094,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349809,115280,109516,121044,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349129,25000,24750,25250,2022/03/01,2022/02/24,99,1,2022/03/01,2022/03/10
311349635,70570,67041,74098,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349103,31913,30317,33508,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349022,21559,20481,22636,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349027,68765,65326,72203,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349037,55242,52479,58004,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349039,48994,46544,51443,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349047,64092,60887,67296,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349052,18072,17168,18975,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349058,38356,36438,40273,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349066,60534,57507,63560,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349089,41046,38993,43098,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349101,19895,18900,20889,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349111,39489,37514,41463,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349286,120519,114493,126544,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349326,75862,72068,79655,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349333,63295,60130,66459,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
311349344,43029,40877,45180,2022/03/01,2022/02/24,95,5,2022/03/01,2022/03/10
