StateCode,FipsCode,CountyName,DeedMin,DeedMax,CommercialDeedDocs,ResidentialDeedDocs,SumDeedDocs,MortgageMin,MortgageMax,CommercialMortgageDocs,ResidentialMortgageDocs,SumMortgageDocs
AL        ,01001,Autauga,2007-01-02,2017-05-15,9337,8430,17767,2007-01-02,2017-05-15,8186,8205,16391
AL        ,01003,Baldwin,1989-05-08,2022-02-16,70987,241550,312537,2004-05-03,2022-02-16,18810,115379,134189
AL        ,01005,Barbour,2006-01-03,2017-01-10,5818,2735,8553,2006-01-03,2016-10-04,6508,749,7257
AL        ,01007,Bibb,2007-01-02,2022-02-10,6522,5240,11762,2007-01-03,2022-02-10,5301,1826,7127
AL        ,01009,Blount,2006-01-03,2021-03-31,18609,14243,32852,2006-01-03,2021-02-26,13946,11995,25941
AL        ,01011,Bullock,2013-01-14,2013-12-16,347,75,422,2013-01-03,2013-12-16,169,40,209
AL        ,01013,Butler,2006-01-03,2017-04-28,5171,3030,8201,2006-01-04,2017-04-28,1756,3495,5251
AL        ,01015,Calhoun,2009-09-24,2022-02-09,13833,23314,37147,2009-12-18,2022-02-09,8372,15807,24179
AL        ,01017,Chambers,2006-01-03,2022-01-07,10454,8113,18567,2006-01-04,2022-01-07,4538,6037,10575
AL        ,01019,Cherokee,2008-01-02,2022-01-31,16742,5799,22541,2008-01-02,2022-01-31,8304,5383,13687
AL        ,01021,Chilton,2006-01-03,2022-01-31,18104,11893,29997,2006-01-04,2022-01-31,7765,8119,15884
AL        ,01023,Choctaw,2006-01-03,2017-02-28,7354,1182,8536,2006-01-03,2017-02-24,2901,232,3133
AL        ,01025,Clarke,2006-01-03,2017-03-31,7888,2937,10825,2006-01-03,2017-04-12,5793,3521,9314
AL        ,01027,Clay,2012-03-01,2013-12-31,805,253,1058,2012-03-02,2013-12-31,404,85,489
AL        ,01029,Cleburne,2006-01-03,2017-03-09,4768,1449,6217,2006-01-03,2017-03-08,4386,725,5111
AL        ,01031,Coffee,2008-01-02,2022-02-09,10147,17717,27864,2008-01-02,2022-02-09,7423,12314,19737
AL        ,01033,Colbert,2006-01-03,2022-02-08,24942,18252,43194,2006-01-03,2022-02-08,30120,18382,48502
AL        ,01035,Conecuh,2009-01-02,2017-03-29,2972,1015,3987,2009-01-05,2017-03-31,1804,438,2242
AL        ,01037,Coosa,2007-01-03,2022-02-08,5742,2820,8562,2007-01-03,2022-02-08,3736,1030,4766
