,,MLS Analytics Layout - Technical Details,"Version
1",,
No.,ATTOM Field Name,Notes / Reference Links -  NOTE: Not all fields/rows will contain details,Table:,"SQL Server
Storage Size",
1,MLSOrg,,,,
2,MLSListingID,,,,
3,DeleteFlag,,,,
4,MLSTransactionID,,,,
5,ATTOM ID,"This field represents an ATTOM DATA Unique identifier assigned to the property during it's entire life in our databases.  
Regardless if the records is a future record, active, or inactive property.",,,
6,APNFormatted,"You can use this field as a Unique Identifier at the county level.  Keep in mind that the number provided may or may not be in the same format which the county provides in their web site, such as dashes.
Additionally, although this field is often populated with numbers, it is recommended that you load this as TEXT.  The parcel numbers may also include leading alpha, leading zeros, periods, dashes, and other special characters.",,,
7,ListingStatus,,,,
8,ListingPrice,,,,
9,AvgMarketPricePerSqFt,,,,
10,AttomFirstSeenDate,,,,
11,ListingDate,,,,
12,LastModifiedDate,,,,
13,AttomDaysOnMarket,,,,
14,AttomCumulativeDaysOnMarket,,,,
15,ConstructionAgeDetails,,,,
16,PublicListingRemarks,,,,
17,DistressedFeatures,,,,
18,LotsTotal,,,,
19,LeaseOption,,,,
20,SoldDate,,,,
21,SoldPrice,,,,
22,Cleared,,,,
23,LeasePrice,,,,
24,LeasePeriod,,,,
25,LeaseTerm,,,,
26,PetsAllowed,,,,
27,WaterIncluded,,,,
28,ElectricIncluded,,,,
29,Well,,,,
30,MLSCountyFIPS,"A five digit code where the first two digits represent the state, and the last three digits represent the county within that state.  
i.e. 06037 where: 
 - - 06 = CA and 
 - - 037 = Los Angeles
County numbers have been assigned in odd sequence - 1,3,5, etc.. this allows for future expansion as new counties are created.  Recent examples include: 
 - Miami-Dade FL (renamed from Dade County) = 12086
 - Broomfield CO (previously Boulder, Adams, Jefferson, and Weld Counties) = 08014",,,
31,MLSListingCountyCode,,,,
32,MLSListingAddress,,,,
33,MLSListingCity,,,,
34,MLSListingState,,,,
35,MLSListingZip,,,,
36,Township,,,,
37,Latitude,,,,
38,Longitude,,,,
39,SitusCounty,,,,
40,PropertyAddressFull,,,,
41,PropertyAddressHouseNumber,,,,
42,PropertyAddressStreetDirection,,,,
43,PropertyAddressStreetName,,,,
44,PropertyAddressStreetSuffix,,,,
45,PropertyAddressStreetPostDirection,,,,
46,PropertyAddressUnitPrefix,,,,
47,PropertyAddressUnitValue,,,,
48,PropertyAddressCity,,,,
49,PropertyAddressState,,,,
50,PropertyAddressZIP,,,,
51,PropertyAddressZIP4,,,,
52,LegalSubdivision,,,,
53,LegalDescription,"Depending on the county's standards, this field may contain block and lot data, tract information, subdivision and/or phase, metes and bounds, and other information used to describe the property and it's location.  This is a free text field with no particular format or standards as this is a direct capture from the county data.",,,
54,NeighborhoodName,,,,
55,CoastalZone,,,,
56,FloodZone,,,,
57,OccupantDetails,,,,
58,ListingOfficeName,,,,
59,ListingOfficeAssociationName,,,,
60,ListingOfficePhone,,,,
61,ListingOfficeEmail,,,,
62,ListingAgentName,,,,
63,ListingAgentAssociationName,,,,
64,ListingAgentPhoneNumber,,,,
65,ListingAgentEmail,,,,
66,ListingAgentLicenseNumber,,,,
67,ListingCoAgentName,,,,
68,ListingCoAgentPhone,,,,
69,SellingOfficeName,,,,
70,SellingOfficePhone,,,,
71,SellingOfficeEmail,,,,
72,SellingAgentName,,,,
73,SellingAgentPhoneNumber,,,,
74,SellingAgentEmail,,,,
75,GarageFeatures,,,,
76,GarageSpaces,,,,
77,ParkingFeatures,,,,
78,CarportSpaces,,,,
79,Appliances,,,,
80,LaundryFeatures,,,,
81,InteriorFeatures,,,,
82,Utilities,,,,
83,UtilitiesFeatures,,,,
84,UtilitiesWaterSource,,,,
85,SewerFeatures,,,,
86,Improvements,,,,
87,MLSPropertyType,,,,
88,AttomPropertyType,,,,
89,MLSPropertySubType,,,,
90,AttomPropertySubType,,,,
91,PropertyUseMuni,,,,
92,PropertyUseStandardized,,,,
93,PropertyZoningDescription,,,,
94,LivingSqFt,,,,
95,BedroomsTotal,,,,
96,BedroomFeatures,,,,
97,FullBaths,,,,
98,BathroomsThreeQuarters,,,,
99,BathroomsHalf,,,,
100,BathroomsQuarter,,,,
101,RoomsTotal,,,,
102,MasterBedroom,,,,
103,FamilyRoom,,,,
104,LivingRoom,,,,
105,DiningRoom,,,,
106,Den,,,,
107,BonusRoom,,,,
108,YearBuilt,,,,
109,YearBuiltEffective,,,,
110,ConstructionDetails,,,,
111,Levels,,,,
112,LevelsFeatures,,,,
113,BasementTotalSqFt,,,,
114,BasementFinishedSqFt,,,,
115,BasementUnfinishedSqFt,,,,
116,BasementFeatures,,,,
117,BelowGroundSqFt,,,,
118,HeatingFeatures,,,,
119,CoolingFeatures,,,,
120,Fireplace,,,,
121,FireplaceNumber,,,,
122,FoundationFeatures,,,,
123,RoofFeatures,,,,
124,ArchitecturalStyleFeatures,,,,
125,AttachedDetached,,,,
126,Elevation,,,,
127,BuildingsTotal,,,,
128,BuildingUnitsTotal,,,,
129,LotSizeAcres,,,,
130,LotSizeSqft,,,,
131,LotSizeSource,,,,
132,LotDimensions,,,,
133,StreetFrontage,,,,
134,LotFeatures,,,,
135,ExteriorWallFeatures,,,,
136,LocationFeatures,,,,
137,Pool,,,,
138,Patio,,,,
139,ViewFeatures,,,,
140,FencingFeatures,,,,
141,HorsePropertyFeatures,,,,
142,ComplexUnitsTotal,,,,
143,WaterAccess,,,,
144,Topography,,,,
145,SlideZone,,,,
146,MarketValue,,,,
147,MarketValueDate,,,,
148,TaxAssessedValueTotal,,,,
149,TaxAmount,,,,
150,TaxYearAssessed,,,,
151,SqFtLowerRange,,,,
152,SqFtUpperRange,,,,
153,HOAFlag,,,,
154,HOADues1,,,,
155,HOADuesFlag,,,,
156,HOADues1Frequency,,,,
157,HOADues2,,,,
158,HOADues2Frequency,,,,
159,HOAFeatures,,,,
160,SchoolDistrict,,,,
161,School_Elementary,,,,
162,School_Middle,,,,
163,School_High,,,,
164,Photo1,,,,
165,Photo2,,,,
166,Photo3,,,,
167,Photo4,,,,
168,Photo5,,,,
169,Photo6,,,,
170,Photo7,,,,
