,,MLS Analytics Layout,"Version
1",,
No.,ATTOM Field Name,ATTOM Description,Data Type,Edit Details,
1,MLSOrg,"The MLS source provider of the listing.  This could be the actual MLS, or an aggregator of the data.",,,
2,MLSListingID,The ID assigned to the listing by the MLS that provided it.,,,
3,DeleteFlag,When 1 client should remove the record from their data,,,
4,MLSTransactionID,TBD,,,
5,ATTOM ID,ATTOM Data's Unique parcel identifier.,int,,
6,APNFormatted,,,,
7,ListingStatus,"The current status of the listing (active, under contract, sold, etc.)",,,
8,ListingPrice,The current price of the listing.,,,
9,AvgMarketPricePerSqFt,TBD,,,
10,AttomFirstSeenDate,"The date ATTOM first received the listing, if no list date is provided",,,
11,ListingDate,The date the property was listed.,,,
12,LastModifiedDate,The date the listing was most recently updated.,,,
13,AttomDaysOnMarket,"Using either the List Date or the Attom First Seen Date, the number of days a property has been active on the market.",,,
14,AttomCumulativeDaysOnMarket,TBD- in progress,,,
15,ConstructionAgeDetails,Identifies if the property is new construction.,,,
16,PublicListingRemarks,Comments povided by the listing agent that are available to the public.,,,
17,DistressedFeatures,Describes the distressed status of the property if applicable.,,,
18,LotsTotal,The total number of lots included within the parcel number of the property.,,,
19,LeaseOption,Indicates if there is an option to lease the property.,,,
20,SoldDate,The date the property was last sold.,,,
21,SoldPrice,The property's last sold price.,,,
22,Cleared,Indicates if the land has been cleared.,,,
23,LeasePrice,The monthly lease amount.,,,
24,LeasePeriod,The length of the lease. ,,,
25,LeaseTerm,The length of the lease. ,,,
26,PetsAllowed,Indicates if Pets are allowed within the property.,,,
27,WaterIncluded,Indicates if Water is included in the rent.,,,
28,ElectricIncluded,Indicates if electric is included in the rent.,,,
29,Well,Indicates if there is a well on the property,,,
30,MLSCountyFIPS,The county FIPS code for the property.,,,
31,MLSListingCountyCode,The county the property resides in.,,,
32,MLSListingAddress,"The full listing addressed, unparsed, including street name, number and direction as listed in the MLS.",,,
33,MLSListingCity,"The city of the property, provided by the MLS.",,,
34,MLSListingState,"The state of the propery, provided by the MLS>",,,
35,MLSListingZip,"The ZIP of the property, provided by the MLS.",,,
36,Township,"The Township of the property, provided by the MLS if applicable.",,,
