[ATTOM ID],TaxAssessedValueTotal,TaxMarketValueTotal,diffCol
299941492,1940,16200,12.0
299941498,1640,13660,12.0
299938645,1840,15340,12.0
299938646,1240,10350,12.0
299938652,8420,70170,12.0
299938653,9410,78440,12.0
311348646,2410,20080,12.0
299940895,360,2960,12.0
299941117,2360,19670,12.0
299941119,3650,30390,12.0
299941128,13300,110850,12.0
299941367,7300,60860,12.0
299941370,6330,52790,12.0
299941376,9420,78520,12.0
299938033,6360,52970,12.0
299938163,3620,30150,12.0
299938164,4460,37160,12.0
299938563,7980,66500,12.0
299938041,4850,40430,12.0
299938042,5780,48170,12.0
299938047,1020,8530,12.0
299938059,1120,9320,12.0
299938060,1810,15110,12.0
299938661,1940,16150,12.0
299938999,19210,160070,12.0
325022821,240,2040,12.0
325022770,2710,8460,32.0
299929773,2700,14190,19.0
299932852,44090,232080,19.0
299933382,42160,221870,19.0
299933465,75100,334700,22.0
299933714,40050,210790,19.0
299934463,64510,339540,19.0
299934722,29040,152850,19.0
299934792,16140,84940,19.0
299934935,13980,73580,19.0
299936030,7830,41180,19.0
299936142,40910,215280,19.0
299936143,41290,217290,19.0
299936154,15430,81210,19.0
299936981,62940,331240,19.0
299937004,68520,360630,19.0
299937511,13750,72380,19.0
299928806,12680,66740,19.0
299938526,4310,22690,19.0
299940719,5930,31220,19.0
299940063,1000,5230,19.0
299928582,1860,9750,19.0
299929765,100,510,20.0
299937620,6630,34890,19.0
299930146,35840,111990,32.0
299939823,233740,730450,32.0
299940219,176140,550430,32.0
299941416,61800,193120,32.0
299941417,23440,73260,32.0
299941418,40820,127550,32.0
299941419,28640,89490,32.0
311348521,260930,815420,32.0
311348706,1410,4410,32.0
311349256,1340,11190,12.0
311349258,6400,53290,12.0
311349259,22890,190790,12.0
311349447,2140,17860,12.0
311349459,6110,48290,13.0
311349460,16110,134290,12.0
299932377,16820,88520,19.0
299931832,3990,21020,19.0
299932181,9650,63260,15.0
299932612,23310,176490,13.0
299932142,22420,164620,14.0
299939390,16070,101040,16.0
299939711,27170,185800,15.0
311348286,36610,192690,19.0
299939867,17460,129760,13.0
299932386,36140,192330,19.0
299931963,4600,24220,19.0
299931679,10620,57930,18.0
299931900,23120,163410,14.0
299931875,8400,48420,17.0
299932061,30080,174690,17.0
299932605,35020,203470,17.0
299939887,17270,104710,16.0
299931671,28040,202250,14.0
299931585,6980,36740,19.0
299930768,11890,63140,19.0
299930748,13340,85670,16.0
299930708,18280,105110,17.0
299931649,43510,228980,19.0
299930775,10280,70740,15.0
299930770,14650,93280,16.0
299931650,28600,159500,18.0
299931632,8730,47590,18.0
299930735,22640,119140,19.0
299931768,13750,101010,14.0
299930762,10790,65360,17.0
299931595,45690,313090,15.0
299931623,15020,85870,17.0
299931618,16120,87540,18.0
299930802,21760,120150,18.0
299940410,10200,53680,19.0
299940419,18180,117580,15.0
299940278,7200,37870,19.0
311348596,31150,164300,19.0
299939829,4870,28800,17.0
299940144,26330,183170,14.0
299940272,41740,297680,14.0
299940304,17170,124320,14.0
299939820,20930,148300,14.0
299940604,22510,153730,15.0
299939395,34440,226810,15.0
299939263,14250,93350,15.0
299940282,29000,219340,13.0
299940198,19440,102320,19.0
