NAME,LONG NAME,,,
geo_type,Geography Type,,,
geo_id,Geography ID,,,
geo_nm,Geography Name/Label,,,
longitude,Longitude,,,
latitude,Latitude,,,
area_sq_mi,Area Sq Mi,,,
population_1990,Population 1990,,,
population_2000,Population 2000,,,
population_2010,Population 2010,,,
population,Population,,,
population_5_yr_projection,Population 5 Yr Projection,,,
population_density_sq_mi,Population Density Sq Mi,,,
population_chg_pct_1990,Population Chg Pct 1990,,,
population_chg_pct_2000,Population Chg Pct 2000,,,
population_chg_pct_2010,Population Chg Pct 2010,,,
population_chg_pct_5_yr_projection,Population Chg Pct 5 Yr Projection,,,
households_1990,Households 1990,,,
households_2000,Households 2000,,,
households_2010,Households 2010,,,
households,Households,,,
households_5_yr_projection,Households 5 Yr Projection,,,
household_chg_pct_1990,Household Chg Pct 1990,,,
household_chg_pct_2000,Household Chg Pct 2000,,,
household_chg_pct_2010,Household Chg Pct 2010,,,
household_chg_pct_5_yr_projection,Household Chg Pct 5 Yr Projection,,,
household_size_avg,Household Size Avg,,,
population_family_pct,Population Family Pct,,,
population_non_family_pct,Population Non Family Pct,,,
households_family,Households Family,,,
households_non_family,Households Non Family,,,
households_family_pct,Households Family Pct,,,
households_non_family_pct,Households Non Family Pct,,,
households_family_married_pct,Households Family Married Pct,,,
households_family_other_pct,Households Family Other Pct,,,
hh_fam_other_male_householder_no_wife_present_pct,Households Family Other Male Householder No Wife Present Pct,,,
hh_fam_other_female_householder_no_husband_present_pct,Households Family Other Female Householder No Husband Present Pct,,,
hh_fam_married_w_children_l18_pct,Households Family Married With Children Under 18 Pct,,,
hh_fam_married_wo_children_l18_pct,Households Family Married Without Children Under 18 Pct,,,
hh_fam_other_male_hh_no_wife_present_w_children_l18_pct,Households Family Other Male Households No Wife Present With Children Under 18 Pct,,,
hh_fam_other_male_hh_no_wife_present_wo_children_l18_pct,Households Family Other Male Households No Wife Present Without Children Under 18 Pct,,,
hh_fam_other_female_hh_no_husband_pres_w_children_l18_pct,Households Family Other Female Households No Husband Pres With Children Under 18 Pct,,,
hh_fam_other_female_hh_no_husband_pres_wo_children_l18_pct,Households Family Other Female Households No Husband Pres Without Children Under 18 Pct,,,
hh_non_family_male_householder_pct,Households Non Family Male Householder Pct,,,
hh_non_family_male_hh_w_children_l18_pct,Households Non Family Male Households With Children Under 18 Pct,,,
hh_non_family_male_hh_wo_children_l18_pct,Households Non Family Male Households Without Children Under 18 Pct,,,
hh_non_family_female_householder_pct,Households Non Family Female Householder Pct,,,
hh_non_family_female_hh_w_children_l18_pct,Households Non Family Female Households With Children Under 18 Pct,,,
hh_non_family_female_hh_wo_children_l18_pct,Households Non Family Female Households Without Children Under 18 Pct,,,
households_family_w_children_pct,Households Family With Children Under 18 Pct,,,
households_family_wo_children_pct,Households Family Without Children Under 18 Pct,,,
households_non_family_w_children_pct,Households Non Family With Children Pct,,,
households_non_family_wo_children_pct,Households Non Family Without Children Pct,,,
population_urban_pct,Population Urban Pct,,,
population_rural_pct,Population Rural Pct,,,
population_male_pct,Population Male Pct,,,
population_female_pct,Population Female Pct,,,
population_white_pct,Population White Pct,,,
population_black_pct,Population Black Pct,,,
population_asian_pct,Population Asian Pct,,,
population_american_indian_or_alaskan_native_pct,Population American Indian Or Alaskan Native Pct,,,
population_multiracial_pct,Population Multiracial Pct,,,
population_other_race_pct,Population Other Race Pct,,,
population_white_hispanic_pct,Population White Hispanic Pct,,,
population_white_non_hispanic_pct,Population White Non Hispanic Pct,,,
population_non_white_hispanic_pct,Population Non White Hispanic Pct,,,
population_non_white_non_hispanic_pct,Population Non White Non Hispanic Pct,,,
population_hispanic_pct,Population Hispanic Pct,,,
population_non_hispanic_pct,Population Non Hispanic Pct,,,
households_white_pct,Households White Pct,,,
households_black_pct,Households Black Pct,,,
households_asian_pct,Households Asian Pct,,,
households_american_indian_or_alaskan_native_pct,Households American Indian Or Alaskan Native Pct,,,
households_multiracial_pct,Households Multiracial Pct,,,
households_other_race_pct,Households Other Race Pct,,,
households_white_hispanic_pct,Households White Hispanic Pct,,,
households_white_non_hispanic_pct,Households White Non Hispanic Pct,,,
households_non_white_hispanic_pct,Households Non White Hispanic Pct,,,
households_non_white_non_hispanic_pct,Households Non White Non Hispanic Pct,,,
households_hispanic_pct,Households Hispanic Pct,,,
households_non_hispanic_pct,Households Non Hispanic Pct,,,
median_age,Median Age,,,
population_aged_0_5_pct,Population Aged 0 5 Pct,,,
population_aged_6_11_pct,Population Aged 6 11 Pct,,,
population_aged_12_17_pct,Population Aged 12 17 Pct,,,
