NAICS_CODE,TOP_CATEGORY,SUB_CATEGORY,TOTAL_POIS,ALL_POIS,OPENED_ON_PERCENT,CLOSED_ON_PERCENT,PHONE_FILL_RATE,OPEN_FILL_RATE
485113,Urban Transit Systems,Bus and Other Motor Vehicle Transit Systems,644960,7952451,0.000000,0.000185,0.001836,0.000643
722511,Restaurants and Other Eating Places,Full-Service Restaurants,504921,7952451,0.009392,0.254830,0.867082,0.445690
813110,Religious Organizations,Religious Organizations,403330,7952451,0.000005,0.025716,0.577227,0.051300
621111,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),369929,7952451,0.005069,0.099587,0.432697,0.284006
722513,Restaurants and Other Eating Places,Limited-Service Restaurants,235794,7952451,0.033059,0.116670,0.849797,0.727754
522110,Depository Credit Intermediation,Commercial Banking,223291,7952451,0.019844,0.046639,0.237923,0.448366
812112,Personal Care Services,Beauty Salons,193108,7952451,0.007814,0.147032,0.884376,0.546161
621210,Offices of Dentists,Offices of Dentists,167036,7952451,0.002275,0.075648,0.655499,0.570931
524210,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,153186,7952451,0.017619,0.073310,0.821315,0.589564
447110,Gasoline Stations,Gasoline Stations with Convenience Stores,150965,7952451,0.053204,0.071288,0.470010,0.393641
722515,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,150252,7952451,0.023401,0.219418,0.765208,0.550382
812220,Death Care Services,Cemeteries and Crematories,141725,7952451,0.000000,0.000226,0.005144,0.001750
811111,Automotive Repair and Maintenance,General Automotive Repair,135187,7952451,0.003706,0.156014,0.876882,0.514680
712190,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,132091,7952451,0.000000,0.005678,0.099560,0.045628
611110,Elementary and Secondary Schools,Elementary and Secondary Schools,126640,7952451,0.000276,0.000940,0.533078,0.003293
812199,Personal Care Services,Other Personal Care Services,116740,7952451,0.005011,0.153598,0.866147,0.589943
713940,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,112005,7952451,0.017106,0.146279,0.807223,0.466113
445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,101346,7952451,0.019350,0.155260,0.693732,0.417293
624410,Child Day Care Services,Child Day Care Services,100119,7952451,0.004255,0.003016,0.679322,0.048952
522390,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,84538,7952451,0.102853,0.038775,0.270375,0.971303
441310,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,83689,7952451,0.011567,0.096715,0.860591,0.680735
446110,Health and Personal Care Stores,Pharmacies and Drug Stores,82833,7952451,0.002825,0.062391,0.540171,0.547511
722410,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),75495,7952451,0.000371,0.267461,0.822425,0.428346
531210,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,75034,7952451,0.007916,0.040622,0.770904,0.223592
621330,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),70711,7952451,0.000000,0.060019,0.733959,0.382699
721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,70576,7952451,0.035593,0.062273,0.660550,0.601196
812113,Personal Care Services,Nail Salons,66354,7952451,0.000347,0.106866,0.909606,0.527881
811121,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance",62154,7952451,0.002687,0.124916,0.883837,0.483686
445120,Grocery Stores,Convenience Stores,61217,7952451,0.045167,0.139291,0.526373,0.267703
448120,Clothing Stores,Women's Clothing Stores,60503,7952451,0.016842,0.256384,0.865759,0.553146
621310,Offices of Other Health Practitioners,Offices of Chiropractors,57919,7952451,0.003194,0.097464,0.724322,0.443637
517312,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),57793,7952451,0.126988,0.235426,0.787068,0.700742
452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,54637,7952451,0.044018,0.061039,0.469407,0.838296
443142,Electronics and Appliance Stores,Electronics Stores,53441,7952451,0.040980,0.107371,0.762748,0.572276
442110,Furniture Stores,Furniture Stores,50595,7952451,0.029351,0.217373,0.872972,0.589110
447190,Gasoline Stations,Other Gasoline Stations,48475,7952451,0.000000,0.000000,0.035585,0.867478
812111,Personal Care Services,Barber Shops,47132,7952451,0.002334,0.139969,0.906221,0.478932
441120,Automobile Dealers,Used Car Dealers,46385,7952451,0.001294,0.211900,0.847170,0.434429
522320,Activities Related to Credit Intermediation,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",46353,7952451,0.080211,0.015447,0.065195,0.643540
446130,Health and Personal Care Stores,Optical Goods Stores,45408,7952451,0.005638,0.101480,0.608197,0.545565
451110,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,44639,7952451,0.016264,0.186675,0.855373,0.551961
453310,Used Merchandise Stores,Used Merchandise Stores,44277,7952451,0.007679,0.239470,0.862999,0.465727
541213,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,44183,7952451,0.010773,0.056085,0.824820,0.589344
453910,Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores,43084,7952451,0.004967,0.151913,0.909108,0.589198
523930,Other Financial Investment Activities,Investment Advice,41131,7952451,0.002285,0.047823,0.739758,0.337799
541940,"Other Professional, Scientific, and Technical Services",Veterinary Services,40599,7952451,0.008695,0.072342,0.682899,0.521712
532282,Consumer Goods Rental,Video Tape and Disc Rental,40543,7952451,0.011371,0.082505,0.176331,0.067040
445310,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",37348,7952451,0.009452,0.129913,0.875094,0.432152
448310,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,34445,7952451,0.006532,0.172507,0.885441,0.594948
444130,Building Material and Supplies Dealers,Hardware Stores,34156,7952451,0.034401,0.087832,0.874546,0.673732
611620,Other Schools and Instruction,Sports and Recreation Instruction,34145,7952451,0.000469,0.121775,0.824982,0.473803
311811,Bakeries and Tortilla Manufacturing,Retail Bakeries,34040,7952451,0.005670,0.259019,0.873678,0.446622
453110,Florists,Florists,33887,7952451,0.000000,0.192699,0.871514,0.536459
621340,Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",33314,7952451,0.012607,0.068890,0.747464,0.544006
531120,Lessors of Real Estate,Malls,32507,7952451,0.000215,0.000584,0.047067,0.012274
491110,Postal Service,Postal Service,31383,7952451,0.003633,0.083835,0.959755,0.995666
922160,"Justice, Public Order, and Safety Activities",Fire Protection,30982,7952451,0.000000,0.000194,0.574850,0.999968
621399,Offices of Other Health Practitioners,Offices of All Other Miscellaneous Health Practitioners,30824,7952451,0.010933,0.090838,0.756326,0.625487
623110,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),29478,7952451,0.000984,0.045831,0.552208,0.139901
621610,Home Health Care Services,Home Health Care Services,28812,7952451,0.008295,0.073546,0.809350,0.311641
5416,"Management, Scientific, and Technical Consulting Services",,28805,7952451,0.000000,0.058566,0.759694,0.280125
