unit_id,geog_id,geog_type,latitude,longitude,ISP,Technology,Download,Upload,down_mean,down_50%,down_min,down_max,up_mean,up_50%,up_min,up_max,latency,lossrate,jitter_down,numTest
447,42003473100,tract,40.391591,-80.049656,Verizon,Fiber,75.0,75.0,81.38,82.19,4.23,86.37,88.59,88.76,81.54,89.14,11,0.02,1.15,351
477,340076033014,blockgroup,39.935827,-75.020504,Verizon,Fiber,50.0,50.0,56.69,56.92,47.67,57.23,62.68,62.72,55.32,63.29,13,0.01,0.94,348
522,511539014031,blockgroup,38.766116,-77.501589,Verizon,Fiber,50.0,50.0,55.41,55.44,48.72,57.22,62.69,62.73,53.55,63.11,13,0.01,0.89,333
562,4013108400,tract,33.501323,-112.022745,Cox,Cable,10.0,1.0,11.53,11.89,7.4,11.95,0.94,0.95,0.64,1.2,22,0.2,1.28,246
566,330110195021,blockgroup,42.897465,-71.679147,Comcast,Cable,100.0,5.0,96.47,112.27,22.57,118.79,5.53,6.0,3.3,6.26,20,0.04,0.85,313
595,36059518900,tract,40.769232,-73.538651,Optimum,Cable,100.0,35.0,114.33,114.8,93.76,116.3,34.94,34.37,31.42,36.67,9,0.19,0.89,190
636,480850316331,blockgroup,33.067761,-96.730877,Frontier,Fiber,75.0,75.0,81.71,82.12,68.27,82.67,85.28,85.87,48.14,85.96,8,0.01,1.29,349
687,6037214800,tract,34.072017,-118.372757,Charter,Cable,60.0,5.0,69.95,70.15,23.43,70.31,5.84,5.85,2.41,6.02,14,0.07,0.92,289
767,8041004100,tract,38.763163,-104.746727,Comcast,Cable,70.0,5.0,81.76,82.93,32.37,83.89,5.73,5.92,1.69,6.18,15,0.1,1.02,232
782,120759705021,blockgroup,29.37775,-82.508839,CenturyLink,DSL,10.0,0.768,7.94,9.43,1.79,9.8,0.61,0.61,0.36,0.73,31,0.37,2.1,250
786,360470355003,blockgroup,40.664353,-73.935763,Optimum,Cable,100.0,35.0,114.5,114.93,92.95,116.38,36.23,36.34,29.96,36.61,15,0.05,0.89,308
810,25001013400,tract,41.736667,-70.438201,Comcast,Cable,25.0,3.0,28.22,29.49,14.53,30.21,3.49,3.51,2.75,3.79,19,0.18,1.08,361
866,90034977001,blockgroup,41.796712,-72.772385,Comcast,Cable,100.0,5.0,116.29,116.23,78.63,120.46,5.99,6.0,3.29,6.23,22,0.02,0.77,355
870,60816102013,blockgroup,37.483458,-122.222035,Comcast,Cable,75.0,5.0,88.25,89.13,32.02,90.1,5.48,5.89,1.97,6.05,27,0.02,0.97,281
925,291019609002,blockgroup,38.618272,-93.856015,CenturyLink,DSL,4.0,0.512,2.46,2.5,1.01,2.76,0.27,0.26,0.06,0.44,58,0.1,7.85,335
1014,340390321013,blockgroup,40.665379,-74.242611,Verizon,Fiber,100.0,100.0,98.22,99.7,70.19,100.23,117.72,118.4,41.23,118.78,12,0.05,1.1,360
1026,60650432114,blockgroup,33.5692,-117.176632,Frontier,Fiber,100.0,100.0,97.57,97.92,82.82,99.81,117.41,118.37,101.97,120.98,7,0.03,0.76,215
1074,120174512001,blockgroup,28.757385,-82.249196,CenturyLink,DSL,1.5,0.256,1.2,1.16,0.31,1.49,0.24,0.24,0.12,0.28,81,0.02,7.22,209
1117,360290146031,blockgroup,42.994103,-78.678384,Verizon DSL,DSL,3.0,0.768,2.7,2.77,1.15,2.81,0.62,0.64,0.22,0.69,27,0.03,43.61,334
1220,60590994151,blockgroup,33.698876,-118.027984,Frontier,Fiber,50.0,50.0,56.56,57.06,37.53,57.33,60.74,60.73,51.79,61.02,7,0.01,1.06,348
1234,220330040241,blockgroup,30.390537,-91.20264,Cox,Cable,50.0,3.0,59.39,59.59,49.42,59.79,2.89,2.93,2.48,3.04,21,0.03,0.89,72
5207,360650253005,blockgroup,43.039664,-75.278784,Charter,Cable,20.0,2.0,22.72,23.3,16.36,23.41,2.29,2.3,2.13,2.49,28,0.01,1.15,310
5216,481210216122,blockgroup,33.001409,-96.904235,Frontier,Fiber,50.0,50.0,55.56,56.92,35.47,57.46,62.84,63.24,40.87,63.35,7,0.02,1.34,357
5235,26121000401,tract,43.228049,-86.216555,Comcast,Cable,25.0,3.0,27.91,29.16,8.59,29.97,3.46,3.48,2.87,3.76,19,0.01,1.13,346
5291,55089650104,tract,43.31203,-87.978992,Charter,Cable,60.0,5.0,62.79,70.12,0.65,70.42,5.85,5.85,4.58,6.06,14,0.77,1.16,291
5321,37067004104,tract,36.16503,-80.362933,Charter,Cable,60.0,5.0,69.99,70.14,62.06,70.25,5.86,5.86,5.23,6.11,25,0.05,0.99,347
5351,39113002600,tract,39.746903,-84.148352,Charter,Cable,60.0,5.0,69.89,70.13,54.85,70.27,5.87,5.88,3.59,6.23,24,0.05,0.88,313
5407,340130210002,blockgroup,40.836149,-74.246677,Verizon,Fiber,50.0,50.0,56.86,56.93,41.14,57.18,69.79,69.97,28.63,71.03,11,0.01,1.14,339
5440,240338067082,blockgroup,38.999641,-76.887001,Comcast,Cable,100.0,5.0,115.37,118.39,52.77,120.15,5.82,5.92,2.51,6.01,12,0.03,0.9,355
5521,24031701222,tract,39.040609,-77.116441,Verizon,Fiber,100.0,100.0,99.6,99.84,82.49,100.16,118.38,118.49,109.89,118.79,13,0.02,0.89,272
5728,530530712123,blockgroup,47.13605,-122.272974,CenturyLink,DSL,40.0,5.0,48.67,49.82,18.01,51.13,5.6,5.61,5.2,5.76,22,0.03,0.91,186
5734,8031004104,tract,39.75656,-104.912622,Comcast,Cable,75.0,5.0,88.32,88.96,80.08,90.37,5.86,5.94,3.23,6.15,13,0.01,0.86,305
5767,60590423133,blockgroup,33.468993,-117.701507,Cox,Cable,50.0,3.0,58.07,59.48,27.79,59.88,3.0,3.08,1.95,3.32,12,0.15,1.3,287
5822,530330101011,blockgroup,47.570538,-122.293255,CenturyLink,DSL,40.0,5.0,83.05,84.52,63.13,85.78,8.92,9.03,7.22,9.1,3,0.05,0.76,351
5831,191530004003,blockgroup,41.632408,-93.622342,Mediacom,Cable,100.0,10.0,129.16,129.81,115.06,131.45,15.77,17.26,12.32,18.2,15,0.0,0.78,350
5844,410333606011,blockgroup,42.4579,-123.325743,Charter,Cable,30.0,4.0,32.86,33.39,23.95,34.24,4.37,4.41,2.94,4.55,22,0.01,1.59,339
5851,40131041001,blockgroup,33.62179,-112.120173,CenturyLink,DSL,10.0,0.768,8.63,9.61,3.27,9.82,0.48,0.48,0.29,0.8,42,0.02,11.88,359
5859,80050067074,blockgroup,39.5865,-104.892653,CenturyLink,DSL,15.0,0.75,13.5,13.81,7.01,14.46,0.63,0.63,0.49,0.83,19,0.01,1.01,248
5871,81010017001,blockgroup,38.251684,-104.646968,Comcast,Cable,105.0,10.0,110.01,110.38,87.2,124.45,11.79,11.9,4.61,11.97,13,0.05,0.94,175
5875,510594812021,blockgroup,38.938058,-77.373863,Verizon,Fiber,100.0,100.0,97.77,99.29,32.07,100.33,116.71,118.6,53.97,119.37,13,0.01,1.36,367
5953,48167720200,tract,29.514263,-95.183937,Comcast,Cable,105.0,10.0,110.93,111.33,88.48,124.77,11.84,11.86,10.64,12.03,19,0.02,0.93,199
5968,250214195002,blockgroup,42.211916,-70.981987,Verizon,Fiber,75.0,75.0,80.32,81.85,53.98,82.32,87.88,88.7,71.71,89.08,12,0.01,1.35,147
6007,481210203172,blockgroup,33.077897,-97.208023,Frontier,Fiber,50.0,50.0,55.7,56.66,35.83,57.05,62.1,62.4,49.7,62.5,10,0.02,0.98,332
6027,8001008545,tract,39.934886,-104.951117,CenturyLink,DSL,120.0,10.0,102.48,107.58,17.63,114.22,9.92,9.99,5.4,10.2,18,0.02,0.9,226
6053,410390026004,blockgroup,44.089321,-123.163433,CenturyLink,DSL,40.0,5.0,40.4,40.43,32.35,40.49,5.07,5.08,4.68,5.13,15,0.01,0.81,362
6098,511539013063,blockgroup,38.652761,-77.45479,Verizon,Fiber,100.0,100.0,99.68,99.89,90.15,100.45,118.54,118.6,117.02,118.91,10,0.01,0.87,310
6099,41039004700,tract,44.033261,-123.094561,Comcast,Cable,70.0,5.0,82.65,83.12,71.61,83.57,5.81,5.84,5.03,5.96,17,0.01,0.8,301
6106,40131032143,blockgroup,33.615371,-111.956243,CenturyLink,DSL,7.0,0.896,7.47,7.78,2.42,7.83,0.63,0.63,0.43,0.78,37,0.04,1.42,266
6167,420410117004,blockgroup,40.171482,-77.032674,Verizon,Fiber,75.0,75.0,81.78,81.91,73.15,82.29,91.1,91.1,90.0,91.33,16,0.02,0.98,353
6196,41051002901,tract,45.551387,-122.592498,Comcast,Cable,3.0,2.0,3.55,3.56,2.89,3.65,2.4,2.4,2.1,2.8,17,0.03,1.06,334
6241,9009186100,tract,41.328267,-72.773514,CenturyLink,DSL,80.0,10.0,76.43,78.33,24.96,79.75,9.85,9.87,8.74,10.34,14,0.02,1.11,249
6278,483090037012,blockgroup,31.446323,-97.094146,Charter,Cable,25.0,3.0,24.21,24.51,21.62,24.57,2.43,2.44,2.18,2.5,20,0.02,1.12,262
6536,4013071903,tract,33.588599,-112.212105,Cox,Cable,50.0,3.0,59.37,59.52,43.41,59.88,2.93,2.94,2.54,3.02,21,0.06,0.76,358
