"Download Sustained Trimmed Mean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,,,,,"Cincinnati Bell DSL",,,,,,,,,,,"Frontier DSL",,,,,,,,,,,Windstream,,,,,,,,,,,Charter,,,,,,,,,,,Comcast,,,,,,,,,,,Cox,,,,,,,,,,,Mediacom,,,,,,,,,,,Optimum,,,,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,,,,"Frontier Fiber",,,,,,,,,,,Verizon,,,,,,,,,,,Total,,,,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N"
1.5,1.2060026629923444,1.2060026629923444,1.1991006451612902,1.1991006451612902,0.8040017753282296,0.8040017753282296,0.8283833846153846,0.8283833846153846,0.20815179515841442,"1.16 - 1.26",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2060026629923444,1.2060026629923444,1.1991006451612902,1.1991006451612902,0.8040017753282296,0.8040017753282296,0.8283833846153846,0.8283833846153846,0.20815179515841442,"1.16 - 1.26",65
3,2.8308073030416794,2.8308073030416794,2.7258055999999997,2.7258055999999997,0.9436024343472262,0.9436024343472263,0.9669765066666667,0.9669765066666667,0.7842891984392539,"2.61 - 3.05",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8308073030416794,2.8308073030416794,2.7258055999999997,2.7258055999999997,0.9436024343472262,0.9436024343472263,0.9669765066666667,0.9669765066666667,0.7842891984392539,"2.61 - 3.05",50
5,,,,,,,,,,,,3.5639886006986523,3.5639886006986523,3.9455514285714277,3.945551428571428,0.7127977201397304,0.7127977201397305,0.7270321142857142,0.7270321142857142,1.0606592100555914,"3.27 - 3.86",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5639886006986523,3.5639886006986523,3.9455514285714277,3.945551428571428,0.7127977201397304,0.7127977201397305,0.7270321142857142,0.7270321142857142,1.0606592100555914,"3.27 - 3.86",49
10,9.082717566175882,9.082717566175882,9.217221777777777,9.217221777777777,0.9082717566175882,0.9082717566175882,0.9349287492957746,0.9349287492957746,1.231185830011396,"8.8 - 9.37",71,,,,,,,,,,,,,,,,,,,,,,,9.595165467339433,9.595165467339433,9.703626,9.703626,0.9595165467339433,0.9595165467339433,0.98679696,0.98679696,1.198010861750715,"9.28 - 9.91",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.121948800970456,9.306405142080607,9.254459198799005,9.429541081128747,0.9121948800970457,0.9306405142080606,0.9388995996942087,0.9575696349206348,1.2385421234615648,"8.91 - 9.34",126
12,12.09127562169382,12.09127562169382,11.874422666666666,11.874422666666666,1.0076063018078183,1.0076063018078183,1.0407956512820513,1.0407956512820513,2.3653194794199446,"11.52 - 12.67",65,,,,,,,,,,,,11.933674601554724,11.933674601554722,11.234359764705882,11.234359764705882,0.9944728834628935,0.9944728834628936,1.0322138737373736,1.0322138737373736,2.5153954803497123,"11.33 - 12.54",66,12.48191274070428,12.48191274070428,12.591134965819457,12.591134965819457,1.04015939505869,1.04015939505869,1.0807144466666665,1.0807144466666667,1.194121410222462,"12.15 - 12.81",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08979869730171,12.141718652750962,11.75703068819001,11.839016387264609,1.0074832247751424,1.0118098877292467,1.0431034587373462,1.0486936758747698,2.170523560643656,"11.77 - 12.41",181
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.484972828435355,15.484972828435355,15.73925123076923,15.73925123076923,1.0323315218956906,1.0323315218956903,1.0695696888888888,1.0695696888888888,1.0381577677991973,"15.18 - 15.79",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.484972828435355,15.484972828435355,15.73925123076923,15.73925123076923,1.0323315218956906,1.0323315218956903,1.0695696888888888,1.0695696888888888,1.0381577677991973,"15.18 - 15.79",45
18,,,,,,,,,,,,,,,,,,,,,,,17.96558612597483,17.96558612597483,17.83863245614035,17.83863245614035,0.9980881181097129,0.9980881181097128,1.0248444090909092,1.024844409090909,2.7611073702501256,"17.15 - 18.78",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96558612597483,17.96558612597483,17.83863245614035,17.83863245614035,0.9980881181097129,0.9980881181097128,1.0248444090909092,1.024844409090909,2.7611073702501256,"17.15 - 18.78",44
20,18.936149184574592,18.936149184574592,18.926487529411766,18.92648752941177,0.9468074592287297,0.9468074592287296,0.9741430947368422,0.974143094736842,2.414562077172836,"18.31 - 19.56",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.936149184574592,18.936149184574592,18.926487529411766,18.92648752941177,0.9468074592287297,0.9468074592287296,0.9741430947368422,0.974143094736842,2.414562077172836,"18.31 - 19.56",57
25,23.07301666500894,23.073016665008936,23.589660799999994,23.589660799999997,0.9229206666003574,0.9229206666003574,0.9508154139534885,0.9508154139534883,2.3468971974021104,"22.58 - 23.57",86,,,,,,,,,,,,,,,,,,,,,,,24.376035361870272,24.376035361870272,24.70568387044534,24.70568387044534,0.975041414474811,0.975041414474811,1.0045367628571427,1.0045367628571429,2.470625353352055,"23.73 - 25.02",56,,,,,,,,,,,,28.57846444941246,28.57846444941246,28.920025,28.920025,1.1431385779764984,1.1431385779764984,1.1730373866666666,1.1730373866666666,1.2494854302425997,"28.25 - 28.9",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.980602953339204,25.01663259835183,28.33165918174676,25.430505279120297,1.1192241181335683,1.0006653039340732,1.1489789402192325,1.0295844992964824,3.14812570697169,"27.54 - 28.42",199
