"Upload Sustained Trimmed Mean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,,,,,"Cincinnati Bell DSL",,,,,,,,,,,"Frontier DSL",,,,,,,,,,,Windstream,,,,,,,,,,,Charter,,,,,,,,,,,Comcast,,,,,,,,,,,Cox,,,,,,,,,,,Mediacom,,,,,,,,,,,Optimum,,,,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,,,,"Frontier Fiber",,,,,,,,,,,Verizon,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted mean of medians","Unweighted mean of medians","Weighted Mean % advertised","Unweighted Mean % advertised","Weighted Mean of Medians % Advertised","Unweighted Mean of Medians % Advertised","Standard Deviation","95% C.I","Unweighted Valid N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.512,0.3656120324596125,0.3656120324596125,0.37387894736842103,0.3738789473684211,0.7140860008976807,0.15135600240569394,0.72488609375,0.7248860937499999,0.1525677007436148,"0.32 - 0.41",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3656120324596125,0.3656120324596125,0.37387894736842103,0.3738789473684211,0.7140860008976807,0.15135600240569394,0.72488609375,0.7248860937499999,0.1525677007436148,"0.32 - 0.41",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.768,0.665627119744907,0.6656271197449068,0.6733640000000001,0.673364,0.8667019788345143,0.07179454006066398,0.8750794025157232,0.8750794025157232,0.09380245015520006,"0.64 - 0.69",53,0.5589371282896207,0.5589371282896207,0.5680711111111111,0.5680711111111111,0.7277827191271102,0.11178742565792413,0.7250604804421769,0.7250604804421769,0.07552985895776627,"0.54 - 0.58",49,,,,,,,,,,,,0.6660484591251145,0.6660484591251145,0.654660814159292,0.654660814159292,0.8672505978191595,0.09853019536597618,0.8677724358974358,0.8677724358974358,0.1273777968197643,"0.64 - 0.7",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6624846739521475,0.6344868651245744,0.6645002973788218,0.6351899961963977,0.8626102525418586,0.09393507292959237,0.8682798871777306,0.8282178455588822,0.11421818741369388,"0.65 - 0.68",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.896,0.7563035208762108,0.7563035208762108,0.7005559333333333,0.7005559333333333,0.8440887509779138,0.14446892829280872,0.7931058576839826,0.7931058576839827,0.583257148426726,"0.66 - 0.86",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7563035208762108,0.7563035208762108,0.7005559333333333,0.7005559333333333,0.8440887509779138,0.14446892829280872,0.7931058576839826,0.7931058576839827,0.583257148426726,"0.66 - 0.86",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,0.964354772298047,0.964354772298047,0.9113573384615382,0.9113573384615383,0.964354772298047,0.08092974904658629,0.9764631076923076,0.9764631076923076,0.3549173687267229,"0.9 - 1.03",130,0.9909476271925843,0.9909476271925843,0.9694651428571428,0.9694651428571428,0.9909476271925843,0.12511683670439308,0.9974777534246574,0.9974777534246575,0.10395439206225154,"0.97 - 1.01",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9675186477274154,0.9739177201172649,0.9182706937711093,0.932253248416608,0.9675186477274154,0.09681968697279267,0.9789633176755209,0.9840200985221674,0.2906188906408403,"0.93 - 1.01",203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4561687577523417,1.456168757752342,1.3709472,1.3709472,0.9707791718348946,0.07427691936951165,0.976246593175853,0.9762465931758529,0.25100081391253726,"1.41 - 1.5",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4561687577523417,1.456168757752342,1.3709472,1.3709472,0.9707791718348946,0.07427691936951165,0.976246593175853,0.9762465931758529,0.25100081391253726,"1.41 - 1.5",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.7690177264365727,1.7690177264365723,1.823454875,1.823454875,0.8845088632182864,0.07180478680646034,0.8935950819672132,0.893595081967213,0.3258805189398926,"1.71 - 1.83",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7690177264365727,1.7690177264365723,1.823454875,1.823454875,0.8845088632182864,0.07180478680646034,0.8935950819672132,0.893595081967213,0.3258805189398926,"1.71 - 1.83",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8668017396628747,2.8668017396628747,2.8805175238095235,2.8805175238095235,0.9556005798876249,0.057336034793257495,0.9617527586206897,0.9617527586206897,0.07250214686996542,"2.85 - 2.89",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8668017396628747,2.8668017396628747,2.8805175238095235,2.8805175238095235,0.9556005798876249,0.057336034793257495,0.9617527586206897,0.9617527586206897,0.07250214686996542,"2.85 - 2.89",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.477313218211189,4.477313218211189,4.8978627999999995,4.8978627999999995,0.8954626436422379,0.10840671746984912,0.8988281379310343,0.8988281379310344,1.1031263228733288,"4.19 - 4.76",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.787568410475047,5.787568410475046,5.820938666666667,5.820938666666667,1.1575136820950092,0.051723050686891085,1.1635127737704918,1.1635127737704918,0.4784515974138518,"5.72 - 5.86",183,,,,,,,,,,,,6.425182760979063,6.425182760979063,5.9963445,5.996344499999999,1.2850365521958127,0.10708637934965105,1.25062256,1.2506225599999998,1.455038317553794,"5.97 - 6.88",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.729148347044447,5.607887886876672,5.7688797023313905,5.655379353736655,1.1458296694088894,0.07130378314212939,1.1500511307662944,1.1212803274021352,1.0357126185728416,"5.61 - 5.85",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
