"Custom Tables",,,download_tier_by_region_tech[average_tier_speed],,,,,,,,,,
"Download speeds by region",,,,,,,,,,,,,
,,,"Average Tier Speed","Sustained Download Speed",,,,,"Percentage of advertised",,,,
,,,"Average Tier Speed",Mean,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation"
"All Regions","All Download tiers",Cable,177.73720138532326,199.05272008689315,1002,"190.6 - 207.5",4.288753222631604,135.75783960067363,1.1264535522116148,1002,"112% - 113%",0.0036316527324389155,0.11495772863174142
,,DSL,21.205673061764386,20.37828742787745,987,"18.8 - 21.9",0.7968969334801442,25.035757252305885,0.9449940361065688,987,"93% - 96%",0.005190887936628736,0.16307982230251372
,,Fiber,135.4356071128624,133.06528344155944,499,"117.1 - 149",8.13871465965245,181.80511400758124,1.0129979231220274,499,"100% - 103%",0.006310299693524792,0.1409614175185091
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 4 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,2.2156078129226335,1.9807039333749719,115,"1.8 - 2.2",0.09059412421763106,0.971513748959504,0.8703031060421871,115,"83% - 91%",0.01979188200796337,0.21224428907033419
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 10 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,6.761299249872548,6.128637521680595,290,"5.7 - 6.5",0.21391846693069053,3.642900224169379,0.8911174469925062,290,"87% - 91%",0.011395381562015274,0.194056355406712
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 25 Mbps",Cable,25,28.575457090593396,57,"28.3 - 28.9",0.16545982664981823,1.2491942968947265,1.1430182836237357,57,"113% - 116%",0.006618393065992728,0.049967771875789053
,,DSL,12.702692642733068,12.123858347287001,759,"11.6 - 12.7",0.2711815589538158,7.471039645104019,0.9382907002356532,759,"93% - 95%",0.006344707367159152,0.1747964000926125
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 50 Mbps",Cable,30.76405574243153,35.08018170159046,115,"32.4 - 37.8",1.3645891236921859,14.633588069827095,1.1413443538151644,115,"113% - 116%",0.007403629820978317,0.07939508467467701
,,DSL,16.558103859653468,15.943125113338052,862,"15.2 - 16.7",0.394619657763807,11.585968636290364,0.9442013281068807,862,"93% - 96%",0.005873874199069656,0.17245598617560284
,,Fiber,50,56.131918405144425,39,"55.6 - 56.6",0.24641613138512072,1.5388682472731556,1.1226383681028884,39,"111% - 113%",0.004928322627702416,0.03077736494546312
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
NORTHEAST,"All Download tiers",Cable,185.82011776804455,207.56577697947833,239,"194.6 - 220.5",6.610647441128628,102.19812934797395,1.1191065107945346,239,"111% - 113%",0.005776111541997755,0.08929651743712251
,,DSL,16.781963440220938,16.21950564784829,48,"13.1 - 19.3",1.5879806550954139,11.001852704247066,0.9590038205232195,48,"91% - 100%",0.022766890537953863,0.15773364456838088
,,Fiber,87.0545675417811,88.74928960777497,103,"85.5 - 92",1.6670085433132822,16.918288944168836,1.0292768714441438,103,"102% - 104%",0.006243087787590119,0.0633604209876036
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 4 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,3,2.7184663999999996,1,,0,0,0.9061554666666666,1,,0,0
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 10 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,8.821241394137877,7.97858490188316,8,"6.2 - 9.8",0.9103678806825348,2.574909207220185,0.9046723456465502,8,"83% - 97%",0.035577450713211244,0.10062822662656737
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 25 Mbps",Cable,25.000000000000004,27.250787628404343,3,"26.2 - 28.3",0.548296447733824,0.9496773050845166,1.090031505136174,3,"105% - 113%",0.021931857909352957,0.03798709220338065
,,DSL,14.200837824486014,13.647982372010501,46,"12 - 15.3",0.8534813424833011,5.788592099162499,0.9560158372614023,46,"91% - 100%",0.023742210154221732,0.16102750379463926
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 50 Mbps",Cable,27.234673846751217,30.014338370977725,4,"14.8 - 45.2",7.738895818464496,15.477791636928991,1.0965852220543881,4,"105% - 114%",0.024009962541548874,0.04801992508309775
,,DSL,15.749969252145283,15.256505791784218,47,"13.3 - 17.2",0.9994910321243345,6.852165292442781,0.9593117852166799,47,"91% - 100%",0.023245191409838935,0.15936100342606513
,,Fiber,50,55.85101923520232,24,"55.1 - 56.6",0.38016080087751686,1.8623999647154315,1.1170203847040465,24,"110% - 113%",0.007603216017550339,0.03724799929430864
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
SOUTH,"All Download tiers",Cable,188.95128845383434,213.34331294957735,234,"194.9 - 231.8",9.392472814457985,143.67720648543303,1.135880299059403,234,"112% - 115%",0.006389106788024864,0.09773454055970071
,,DSL,17.18951274577137,16.28448947708267,323,"14.2 - 18.3",1.042677227238312,18.73920445123122,0.9168430176225716,323,"90% - 93%",0.008773128964056335,0.15767243499688977
,,Fiber,143.64864440750668,141.5267805747854,193,"116 - 167.1",13.025300080970137,180.95325182065363,1.0058918924338596,193,"99% - 102%",0.008195994477072659,0.11386239421057186
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 4 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,2.278215634855127,1.9265486884014502,42,"1.7 - 2.2",0.12885326390992002,0.8350645915437074,0.8327793536680778,42,"78% - 88%",0.024782411268567974,0.16060838131289004
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 10 Mbps",Cable,0,0,0,,0,0,0,0,,0,0
,,DSL,6.783875744639935,5.9661280964033025,116,"5.3 - 6.7",0.35176037897812257,3.7885752268345625,0.8616452222012635,116,"83% - 90%",0.017427451256401605,0.18769939436805183
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
,"Up to 25 Mbps",Cable,25,29.013474503776585,19,"28.6 - 29.4",0.20081181348294516,0.8753184016412965,1.1605389801510635,19,"114% - 118%",0.008032472539317806,0.03501273606565186
,,DSL,12.944847333272511,12.115088732622999,290,"11.2 - 13",0.45252805426206555,7.7062750774496225,0.9106704398149255,290,"89% - 93%",0.009483764258062665,0.16150268575391247
,,Fiber,0,0,0,,0,0,0,0,,0,0
,,Satellite,--,--,--,--,--,--,--,--,--,--,--
