"Technology by State",,,,,,,,,,,,
,,,"Sustained Download Speed",,,,,"Percentage of advertised",,,,
,,"Average Tier Speed",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation"
"All Regions",Cable,177.73720138532326,199.05272008689315,1002,"190.6 - 207.5",4.288753222631604,135.75783960067363,1.1264535522116148,1002,"112% - 113%",0.0036316527324389155,0.11495772863174142
,DSL,21.205673061764386,20.37828742787745,987,"18.8 - 21.9",0.7968969334801442,25.035757252305885,0.9449940361065688,987,"93% - 96%",0.005190887936628736,0.16307982230251372
,Fiber,135.4356071128624,133.06528344155944,499,"117.1 - 149",8.13871465965245,181.80511400758124,1.0129979231220274,499,"100% - 103%",0.006310299693524792,0.1409614175185091
,Satellite,--,--,--,--,--,--,--,--,--,--,--
"Northeast States",Cable,185.82011776804455,207.56577697947833,239,"194.6 - 220.5",6.610647441128628,102.19812934797395,1.1191065107945346,239,"111% - 113%",0.005776111541997755,0.08929651743712251
,DSL,16.781963440220938,16.21950564784829,48,"13.1 - 19.3",1.5879806550954139,11.001852704247066,0.9590038205232195,48,"91% - 100%",0.022766890537953863,0.15773364456838088
,Fiber,87.0545675417811,88.74928960777497,103,"85.5 - 92",1.6670085433132822,16.918288944168836,1.0292768714441438,103,"102% - 104%",0.006243087787590119,0.0633604209876036
,Satellite,--,--,--,--,--,--,--,--,--,--,--
CT,Cable,187.74514610491616,207.42224156693416,28,"175.2 - 239.7",16.455230574688148,87.07289573370261,1.108355285151902,28,"108% - 113%",0.012308572119716008,0.0651308416461434
,DSL,22.046441743879587,23.023518231547207,7,"6.6 - 39.5",8.392076640095327,22.203347773086737,1.123648054511139,7,"99% - 126%",0.06748612612001928,0.17855150666071135
,Fiber,100,98.0517469473684,1,,0,0,0.9805174694736841,1,,0,0
,Satellite,--,--,--,--,--,--,--,--,--,--,--
MA,Cable,162.87324153705202,182.63653671738055,22,"128.1 - 237.2",27.833104820658182,130.5488334956326,1.1341471762850173,22,"111% - 116%",0.010962652027470312,0.05141939583910703
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,87.51653769849823,89.58036234834731,20,"83.1 - 96.1",3.3256470045090136,14.87274554250141,1.0332192634114163,20,"100% - 106%",0.015063794491729834,0.06736733696518961
,Satellite,--,--,--,--,--,--,--,--,--,--,--
ME,Cable,146.69008875158158,172.4366783937717,2,"-32.8 - 377.7",104.73436805263157,148.11676374660698,1.1476899302046095,2,"104% - 126%",0.055056877105263184,0.07786218230417195
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
NH,Cable,193.28619082019188,207.6133393097165,6,"142.4 - 272.8",33.2529643919849,81.45279519530125,1.0665810812288308,6,"101% - 112%",0.027746642758929005,0.06796511683466573
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
NJ,Cable,191.18170554195208,212.32582780790807,64,"190.7 - 234",11.05213564286575,88.417085142926,1.1160350486449064,64,"109% - 114%",0.011289399614124427,0.09031519691299542
,DSL,25,25.03528394285714,2,"25 - 25",0.005902342857142528,0.008347173318346926,1.0014113577142858,2,"100% - 100%",0.00023609371428567894,0.0003338869327338457
,Fiber,91.24374744226526,91.72367739902455,22,"85.2 - 98.2",3.3070095335302767,15.511249633956739,1.0115799629421045,22,"99% - 104%",0.012475372296820275,0.058514682830670434
,Satellite,--,--,--,--,--,--,--,--,--,--,--
NY,Cable,205.44296825827078,229.76775771884454,92,"208.7 - 250.8",10.74214061802607,103.0349932075748,1.1203782163385965,92,"110% - 114%",0.011063440627918744,0.10611679463934275
,DSL,12.440470988079797,11.209092198291081,11,"9.6 - 12.8",0.7981708905675798,2.647233362596482,0.9046782689461272,11,"78% - 102%",0.06122541265039486,0.2030617213960387
,Fiber,82.43247753112163,85.33014341728152,23,"78.4 - 92.2",3.5151878548981803,16.85824872488671,1.0468886616347608,23,"102% - 107%",0.01288314094801831,0.06178537347778712
,Satellite,--,--,--,--,--,--,--,--,--,--,--
PA,Cable,168.9881344205243,193.27492177861802,20,"136.7 - 249.9",28.87407496449649,129.12878881607796,1.1296521711367913,20,"110% - 116%",0.013334525395425496,0.05963381046373735
,DSL,16.83812099556019,16.138386643263658,28,"13.2 - 19.1",1.4980973097870707,7.927185842942957,0.9385388799989288,28,"89% - 98%",0.022939457457659653,0.12138419928742686
,Fiber,87.32099057332883,88.87829899706834,35,"82.9 - 94.9",3.074351838627259,18.18811075863786,1.0285596569327737,35,"101% - 105%",0.010659067146601007,0.06305989165270753
,Satellite,--,--,--,--,--,--,--,--,--,--,--
RI,Cable,193.71721860068527,215.86630280376585,4,"111.6 - 320.2",53.209824031820304,106.41964806364061,1.1030391065667766,4,"103% - 118%",0.03683643229364759,0.07367286458729518
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,67.71440635056072,71.01068406156277,2,"39.6 - 102.4",16.016528166666667,22.650791355430684,1.0406724759845962,2,"94% - 114%",0.052510972222222174,0.07426172909006347
,Satellite,--,--,--,--,--,--,--,--,--,--,--
VT,Cable,100,113.40237239999999,1,,0,0,1.134023724,1,,0,0
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
"South States",Cable,188.95128845383434,213.34331294957735,234,"194.9 - 231.8",9.392472814457985,143.67720648543303,1.135880299059403,234,"112% - 115%",0.006389106788024864,0.09773454055970071
,DSL,17.18951274577137,16.28448947708267,323,"14.2 - 18.3",1.042677227238312,18.73920445123122,0.9168430176225716,323,"90% - 93%",0.008773128964056335,0.15767243499688977
,Fiber,143.64864440750668,141.5267805747854,193,"116 - 167.1",13.025300080970137,180.95325182065363,1.0058918924338596,193,"99% - 102%",0.008195994477072659,0.11386239421057186
,Satellite,--,--,--,--,--,--,--,--,--,--,--
AL,Cable,173.08246439838703,195.75373318399457,13,"112.3 - 279.2",42.59979371464739,153.59574056234973,1.1432811169086923,13,"104% - 124%",0.050968098316070146,0.18376809189148072
,DSL,14.276583554620242,13.520193869293502,16,"8.1 - 19",2.789184332537863,11.156737330151453,0.9205671088293853,16,"84% - 100%",0.041933311470217144,0.16773324588086858
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
AR,Cable,172.32517882968332,200.45144583362926,6,"110.6 - 290.3",45.86126120057972,112.33668890192016,1.1552437683498535,6,"109% - 122%",0.030821264178036684,0.07549637046371145
,DSL,31.920663853109623,31.186498222108874,7,"12.2 - 50.2",9.689124181825399,25.635013007132176,0.9521197027535162,7,"87% - 103%",0.04154880606998686,0.10992780813283615
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
DC,Cable,300,353.8154308571428,1,,0,0,1.1793847695238093,1,,0,0
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,100,99.682166,1,,0,0,0.9968216599999999,1,,0,0
,Satellite,--,--,--,--,--,--,--,--,--,--,--
DE,Cable,113.39013273008814,134.0467670644073,7,"-4.8 - 272.9",70.82557507308012,187.38685810650531,1.1769505660161572,7,"115% - 121%",0.016224408309733332,0.04292574955672421
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,100,100.07100076190476,1,,0,0,1.0007100076190476,1,,0,0
,Satellite,--,--,--,--,--,--,--,--,--,--,--
FL,Cable,173.09878322259996,195.182762425361,45,"153.4 - 236.9",21.304967670018634,142.91806790579093,1.1462721650979217,45,"112% - 118%",0.015153854600715224,0.10165514702504153
,DSL,25.474666745543857,24.4799375670332,59,"16.5 - 32.5",4.0941302452181985,31.447611124278023,0.9263073400114199,59,"90% - 95%",0.014129410608614057,0.10853006221624546
,Fiber,219.82304961173693,220.43093863316292,46,"162 - 278.9",29.836916502259296,202.36381339727834,0.9941073835931897,46,"98% - 101%",0.006720715281067335,0.04558210875883115
,Satellite,--,--,--,--,--,--,--,--,--,--,--
GA,Cable,190.2690236369711,209.7850485571081,23,"151.4 - 268.1",29.76391866767203,142.74273940373743,1.0910790923640998,23,"104% - 115%",0.027734145106367417,0.13300828737324605
,DSL,17.431120509900012,17.214687951835714,60,"15.8 - 18.6",0.7147991047730544,5.536810057340021,0.9927762302299108,60,"97% - 102%",0.01304593841931343,0.10105340446729685
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
KY,Cable,196.25926295057283,223.07705181025338,15,"152.3 - 293.9",36.125090729093756,139.91187477401206,1.1308396531790832,15,"110% - 116%",0.015591286086351146,0.060384791358393405
,DSL,18.33449570899111,16.201065147415253,45,"12.6 - 19.8",1.8517445071133185,12.42187978460167,0.8830497078925409,45,"81% - 95%",0.035588806898805066,0.23873697439152483
,Fiber,428.8520154509568,361.75517914397005,30,"326.9 - 396.6",17.781176384364798,97.39151404694749,0.8725697014158537,30,"80% - 94%",0.03488073003633127,0.1910496266314663
,Satellite,--,--,--,--,--,--,--,--,--,--,--
LA,Cable,184.68934229221148,199.94284938307737,10,"141.6 - 258.2",29.741845125853132,94.05197241367317,1.0936527716253268,10,"101% - 117%",0.04054588988702458,0.12821736180138485
,DSL,31.927769736663432,31.15752602400118,3,"6.5 - 55.9",12.603637502229914,21.830140514042707,0.9504314268643518,3,"87% - 103%",0.04247088672305735,0.07356173364683778
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
MD,Cable,135.96977952398618,156.32849581653483,21,"96.8 - 215.9",30.38422497770518,139.2380108929019,1.1598701840607373,21,"114% - 118%",0.011681683497081506,0.053532198869892446
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,88.42246707117829,89.52594506032425,20,"80.8 - 98.3",4.458293392422514,19.938094178189775,1.023244424879485,20,"99% - 105%",0.014604493628557837,0.06531328106083578
,Satellite,--,--,--,--,--,--,--,--,--,--,--
MS,Cable,--,--,--,--,--,--,--,--,--,--,--
,DSL,8.37188117672395,6.962807830937394,4,"1.5 - 12.5",2.8035659244467475,5.607131848893495,0.7502727587804195,4,"49% - 101%",0.13504562656477412,0.27009125312954824
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
NC,Cable,246.5354164092005,268.9817124153869,20,"207.8 - 330.1",31.19694651634034,139.5169862019245,1.103503196759537,20,"105% - 116%",0.02964333479751832,0.13256902337407186
,DSL,14.939248697514383,14.038265357151072,38,"8.8 - 19.3",2.676190603215326,16.49714682907455,0.9156056783464864,38,"88% - 96%",0.02011075021542063,0.12397099023815028
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
OK,Cable,156.27450297004503,182.09725647268922,7,"120.8 - 243.4",31.295467539959755,82.80002427422787,1.1676552374224105,7,"114% - 119%",0.011991689278505763,0.03172702763048582
,DSL,20.175090677273484,20.87352641059501,9,"15.5 - 26.3",2.7654064344524136,8.29621930335724,1.0224570022139652,9,"95% - 110%",0.0375842505358275,0.11275275160748251
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
SC,Cable,235.60294393110425,264.9789864219588,7,"153.2 - 376.8",57.030713146230134,150.88908407758697,1.1193959165463823,7,"109% - 115%",0.01631024145068707,0.04315284270193535
,DSL,9.147736929616077,8.322627511336902,4,"-1.3 - 18",4.922218887663438,9.844437775326876,0.7134105742491814,4,"45% - 97%",0.13223097511773022,0.26446195023546043
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
TN,Cable,183.36169228718774,207.26841352640486,7,"107.4 - 307.1",50.940569121932626,134.77607754072966,1.1211519581062246,7,"104% - 120%",0.04012311026471529,0.10615577158685961
,DSL,14.517398117904957,13.648776503809794,8,"6 - 21.3",3.919418347743782,11.085789167986409,0.938973616633612,8,"86% - 102%",0.041651827395234396,0.11780915839992742
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
TX,Cable,210.24369922423622,239.36798543118704,25,"184.3 - 294.5",28.113925521569804,140.56962760784901,1.1367313533199954,25,"111% - 116%",0.011624987484010136,0.058124937420050676
,DSL,12.9273702101799,11.63334208976252,37,"6.4 - 16.9",2.6671000516703507,16.223336258856854,0.8664483633087428,37,"82% - 91%",0.02310041919281368,0.14051436430022887
,Fiber,269.8700136042673,262.42771159159275,63,"212.8 - 312",25.30109508536999,200.82121648046257,0.9980019647153604,63,"97% - 102%",0.011992978019133214,0.09519131195307155
,Satellite,--,--,--,--,--,--,--,--,--,--,--
VA,Cable,175.02033895726703,203.22491502137632,26,"155.7 - 250.8",24.24974772450262,123.64993684694107,1.1615445305433831,26,"114% - 118%",0.009070433304667187,0.046250316417239874
,DSL,10.36663607638963,9.255073622410082,19,"4.3 - 14.2",2.5104447160638075,10.942774820667797,0.8605860228463051,19,"79% - 93%",0.03529202636377661,0.1538343764324755
,Fiber,92.0698502840759,92.20810662439443,32,"85.9 - 98.5",3.2007373112137047,18.106104460448062,1.0102148521417325,32,"99% - 103%",0.012138356038644339,0.06866491093905673
,Satellite,--,--,--,--,--,--,--,--,--,--,--
WV,Cable,200,235.15807199999998,1,,0,0,1.17579036,1,,0,0
,DSL,14.776687361398958,14.763795904167022,14,"12.8 - 16.7",0.9989453332994312,3.7377111853231737,1.003070761751694,14,"92% - 109%",0.04419088066458772,0.16534713506670037
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
"Midwest States",Cable,176.9771780606049,195.71160066971,262,"175.8 - 215.6",10.14294814241681,164.17795838411513,1.1169473019518317,262,"110% - 114%",0.009716260443322255,0.1572714146138669
,DSL,20.746040247798234,19.938496458036585,332,"17.6 - 22.3",1.2156312675571463,22.14985583962075,0.9533667309015603,332,"93% - 97%",0.00939278128008636,0.1711446199513135
,Fiber,450.88166737211316,398.5284798642976,153,"381.6 - 415.4",8.611859265555921,106.52281615452358,0.9032018417983789,153,"87% - 93%",0.015390979960004117,0.19037590817058495
,Satellite,--,--,--,--,--,--,--,--,--,--,--
IA,Cable,121.8886560718663,149.1918877193746,88,"112.5 - 185.8",18.701746654756263,175.43793449138778,1.2607868414059564,88,"123% - 129%",0.014798892009844283,0.1388259126217973
,DSL,23.405017060499443,23.34537903856773,35,"16.3 - 30.4",3.5815122712271243,21.18851234072998,0.9933190829828251,35,"95% - 104%",0.02360395399918741,0.13964287505580597
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
IL,Cable,125.3892868867311,146.0576631232305,33,"96.6 - 195.5",25.222353387473042,144.89138912745955,1.1648256813704456,33,"111% - 122%",0.027744013450037158,0.15937722333013213
,DSL,13.139086174038091,13.324332993421136,11,"11 - 15.6",1.161117116889545,3.850989814381854,1.0096551488705099,11,"92% - 110%",0.043610251046062753,0.14463883973299424
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
IN,Cable,153.18052558887402,181.5852996095614,14,"80.8 - 282.4",51.43914684718593,192.46766377012273,1.1740389753008904,14,"113% - 122%",0.024158677015316862,0.09039349230904617
,DSL,13.677100718629436,12.841219578369255,24,"9.3 - 16.4",1.8188906779769038,8.910708117896732,0.9154615698798758,24,"84% - 99%",0.036731487251983906,0.17994680252181128
,Fiber,499.99999999999994,424.1040513397683,2,"423.1 - 425.1",0.5333827683397772,0.7543171449222196,0.8482081026795366,2,"85% - 85%",0.0010667655366795592,0.001508634289844446
,Satellite,--,--,--,--,--,--,--,--,--,--,--
KS,Cable,180.1831156714007,152.2662373217654,12,"101 - 203.5",26.151568160297536,90.59168950247177,0.9868248417803497,12,"85% - 112%",0.06991515228498635,0.24219319195302327
,DSL,11.281078473146929,11.093384103151934,5,"2.8 - 19.4",4.237775950874343,9.475955099568841,0.9407168268885475,5,"75% - 113%",0.09859341154048576,0.22046157033813843
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
MI,Cable,135.53285989449668,155.4828855438056,16,"93 - 218",31.885566482919902,127.54226593167961,1.138451783962096,16,"111% - 116%",0.01312156023702087,0.05248624094808348
,DSL,14.729237916635679,13.231816770857899,13,"6.9 - 19.5",3.2064770656366357,11.561117473752201,0.978415086552108,13,"85% - 111%",0.06794562661558368,0.24498144070601768
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
