"West States",,,,,,,,,,,,
,,,,,,,,,,,,
,,"Average Tier Speed","Sustained Download Speed",,,,,"Percentage of advertised",,,,
,,"Average Tier Speed",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation"
STATE,AZ,124.5750090014148,136.43108442724287,100,"116.2 - 156.6",10.305041284536305,103.05041284536306,1.0928402653394564,100,"107% - 112%",0.013955576108445744,0.13955576108445744
,CA,172.07598054810106,193.33867033638214,226,"173.8 - 212.9",9.968236255719793,149.85545000187787,1.1307415186573269,226,"112% - 114%",0.007188579507940535,0.10806804628236814
,CO,120.66657093844891,133.92522117595917,64,"121.2 - 146.7",6.496647091130064,51.97317672904051,1.0480096384639812,64,"101% - 108%",0.017126076125277338,0.1370086090022187
,HI,200,228.87921599999999,1,,0,0,1.14439608,1,,0,0
,ID,30.631789469390668,29.53335166547707,19,"13.4 - 45.7",8.230337501705698,35.87520944116816,0.9870935013938522,19,"92% - 106%",0.03515972814160461,0.15325770185161763
,MT,9.032672404522092,8.016272493125859,6,"0.6 - 15.4",3.78505839933968,9.27146172501786,0.8547259486854935,6,"72% - 99%",0.06658683123519138,0.1631037601150358
,NM,85.22010924002163,97.68967638918679,36,"77.2 - 118.2",10.44515622735235,62.670937364114096,1.0888332277641624,36,"103% - 115%",0.02953812574951237,0.17722875449707423
,NV,123.1100393613453,128.45693950679862,24,"94.6 - 162.3",17.27001303473459,84.60543957262831,1.1015667908267583,24,"105% - 116%",0.027439354745569553,0.13442483599572308
,OR,96.02154404136147,107.31622485154651,41,"89.4 - 125.3",9.162801771370443,58.67055810505472,1.08915077903304,41,"103% - 115%",0.03214664166499165,0.20583894039717668
,UT,98.35144878124122,112.98914564598745,14,"87.5 - 138.5",13.025783624264502,48.738019516248315,1.1352734449377062,14,"108% - 119%",0.027324003264760734,0.10223705865182729
,WA,112.69945358785543,125.77603999559356,65,"104.2 - 147.3",10.994600558245086,88.641303540159,1.0693283679445067,65,"103% - 111%",0.02112318650835235,0.1703005740957191
,WY,6.730844808597573,5.580659657545193,5,"1.9 - 9.3",1.873199758555182,4.18860199556558,0.8380469451556277,5,"68% - 99%",0.07977297773441692,0.17837780098173342
