"ICMP round trip jitter under downstream load (ms)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
1.5,16.01526645651655,16.01526645651655,10.396900450878023,10.396900450878025,2,17.44914028995907,"11.74 - 20.29",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.01526645651655,16.01526645651655,10.396900450878023,10.396900450878025,2,17.44914028995907,"11.74 - 20.29",64
3,13.314045372674977,13.314045372674979,5.407068287037035,5.407068287037037,5,33.87651656735746,"3.92 - 22.7",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.314045372674977,13.314045372674979,5.407068287037035,5.407068287037037,5,33.87651656735746,"3.92 - 22.7",50
5,,,,,,,,,5.258865451211419,5.2588654512114195,3.7094173913043376,3.7094173913043478,1,7.460778989173612,"3.13 - 7.39",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.258865451211419,5.2588654512114195,3.7094173913043376,3.7094173913043478,1,7.460778989173612,"3.13 - 7.39",47
10,3.6351995403935065,3.6351995403935065,1.8558766447368416,1.855876644736842,1,5.240639884064101,"2.41 - 4.86",70,,,,,,,,,,,,,,,,,2.0941209089909383,2.0941209089909383,1.6208850727201254,1.6208850727201258,0,2.0317034128717704,"1.55 - 2.64",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.517219902876829,2.964084652524646,1.8418647150751026,1.6480189759036146,0,4.215928363933481,"2.78 - 4.26",124
12,1.217478110217901,1.2174781102179013,0.6781428571428572,0.6781428571428572,0,1.4741731167213235,"0.86 - 1.58",65,,,,,,,,,5.20999601681184,5.209996016811841,1.0841296296296297,1.0841296296296297,2,19.41872832838553,"0.49 - 9.93",65,2.4514207180709637,2.4514207180709637,1.4612743858381503,1.4612743858381503,0,2.951816075805456,"1.63 - 3.27",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6803280400486615,3.0019825231137856,0.9064003477506779,0.9896028520499109,1,11.874257833594424,"0.95 - 4.42",180
15,,,,,,,,,,,,,,,,,,,,,,,,,1.2569643494146703,1.2569643494146703,0.8881574074074079,0.8881574074074075,0,1.1896443129584084,"0.91 - 1.6",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2569643494146703,1.2569643494146703,0.8881574074074079,0.8881574074074075,0,1.1896443129584084,"0.91 - 1.6",45
18,,,,,,,,,,,,,,,,,1.3815330642128283,1.3815330642128283,0.8138805970149257,0.8138805970149254,0,1.65920340985452,"0.89 - 1.88",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3815330642128283,1.3815330642128283,0.8138805970149257,0.8138805970149254,0,1.65920340985452,"0.89 - 1.88",43
20,1.6872516928339587,1.6872516928339585,0.840036231884058,0.840036231884058,0,2.2900118439598582,"1.09 - 2.28",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6872516928339587,1.6872516928339585,0.840036231884058,0.840036231884058,0,2.2900118439598582,"1.09 - 2.28",57
