"Roundtrip latency (ms)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
1.5,72.82481117,72.82481117,64.90206897,64.90206897,4.543112131,36.34489704,"63.92 - 81.73",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.82481117,72.82481117,64.90206897,64.90206897,4.543112131,36.34489704,"63.92 - 81.73",64
3,55.56961646,55.56961646,54.01899006,54.01899006,2.23121083,15.77704308,"51.2 - 59.94",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56961646,55.56961646,54.01899006,54.01899006,2.23121083,15.77704308,"51.2 - 59.94",50
5,,,,,,,,,38.79032755,38.79032755,33.7248,33.7248,2.087511296,14.61257907,"34.7 - 42.88",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.79032755,38.79032755,33.7248,33.7248,2.087511296,14.61257907,"34.7 - 42.88",49
10,40.81716319,40.81716319,38.90182088,38.90182088,1.618112804,13.73014244,"37.65 - 43.99",72,,,,,,,,,,,,,,,,,32.25211943,32.25211943,30.1645,30.1645,1.099855692,8.156748116,"30.1 - 34.41",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.16145313,37.10789227,37.51969567,34.77176842,1.09722627,12.36511209,"38.01 - 42.31",127
12,34.24180743,34.24180743,34.2442695,34.2442695,1.075904293,8.674217722,"32.13 - 36.35",65,,,,,,,,,22.33486558,22.33486558,20.92951474,20.92951474,1.259723035,10.07778428,"19.87 - 24.8",64,32.20510963,32.20510963,30.6190175,30.6190175,1.193457087,8.439015992,"29.87 - 34.54",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08959063,29.41566682,29.96219707,29.0358375,0.788613469,10.55092913,"28.54 - 31.64",179
15,,,,,,,,,,,,,,,,,,,,,,,,,32.29035521,32.29035521,32.25384375,32.25384375,1.086228019,7.286639066,"30.16 - 34.42",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.29035521,32.29035521,32.25384375,32.25384375,1.086228019,7.286639066,"30.16 - 34.42",45
18,,,,,,,,,,,,,,,,,24.88294475,24.88294475,23.95814559,23.95814559,1.724003981,11.43574869,"21.5 - 28.26",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.88294475,24.88294475,23.95814559,23.95814559,1.724003981,11.43574869,"21.5 - 28.26",44
20,33.55721641,33.55721641,33.62083333,33.62083333,1.342724039,10.13734419,"30.93 - 36.19",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.55721641,33.55721641,33.62083333,33.62083333,1.342724039,10.13734419,"30.93 - 36.19",57
