"Packet Loss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
1.5,0.005922584,0.005922584,0.003162164,0.003162164,0.000858,0.006861679,"0 - 0.01",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005922584,0.005922584,0.003162164,0.003162164,0.000858,0.006861679,"0 - 0.01",64
3,0.008324827,0.008324827,0.001977022,0.001977022,0.002399549,0.016967375,"0 - 0.01",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008324827,0.008324827,0.001977022,0.001977022,0.002399549,0.016967375,"0 - 0.01",50
5,,,,,,,,,0.004360929,0.004360929,0.000825,0.000825,0.001902508,0.013317556,"0 - 0.01",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004360929,0.004360929,0.000825,0.000825,0.001902508,0.013317556,"0 - 0.01",49
10,0.002421091,0.002421091,0.001181162,0.001181162,0.000388,0.003293388,"0 - 0",72,,,,,,,,,,,,,,,,,0.002978429,0.002978429,0.001963056,0.001963056,0.00056,0.004153294,"0 - 0",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002463759,0.002662458,0.001252282,0.001530634,0.000327,0.003685312,"0 - 0",127
12,0.003115678,0.003115678,0.001218957,0.001218957,0.000645,0.00519872,"0 - 0",65,,,,,,,,,0.004735462,0.004735462,0.001856905,0.001856905,0.001234072,0.009872575,"0 - 0.01",64,0.002978967,0.002978967,0.001288709,0.001288709,0.000573,0.004050973,"0 - 0",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00362754,0.003656631,0.001488942,0.00148677,0.000525,0.007027536,"0 - 0",179
15,,,,,,,,,,,,,,,,,,,,,,,,,0.002154412,0.002154412,0.001395977,0.001395977,0.000374,0.00251021,"0 - 0",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002154412,0.002154412,0.001395977,0.001395977,0.000374,0.00251021,"0 - 0",45
18,,,,,,,,,,,,,,,,,0.00371806,0.00371806,0.001144558,0.001144558,0.000924,0.006130461,"0 - 0.01",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00371806,0.00371806,0.001144558,0.001144558,0.000924,0.006130461,"0 - 0.01",44
20,0.001919683,0.001919683,0.000692,0.000692,0.000492,0.003714023,"0 - 0",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001919683,0.001919683,0.000692,0.000692,0.000492,0.003714023,"0 - 0",57
