"Web page loading time (ms)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
1.5,11021.188737631594,11021.188737631594,10979.492971098265,10979.492971098265,174.96908929801063,1410.645895905627,"10678.25 - 11364.13",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021.188737631594,11021.188737631594,10979.492971098265,10979.492971098265,174.96908929801063,1410.645895905627,"10678.25 - 11364.13",65
3,6922.045060966782,6922.045060966783,6250.8063322721455,6250.806332272146,306.0724744026046,2164.259221846277,"6322.14 - 7521.95",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6922.045060966782,6922.045060966783,6250.8063322721455,6250.806332272146,306.0724744026046,2164.259221846277,"6322.14 - 7521.95",50
5,,,,,,,,,5447.606867481632,5447.606867481633,4508.262946236556,4508.2629462365585,354.5817142951477,2482.072000066034,"4752.63 - 6142.59",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5447.606867481632,5447.606867481633,4508.262946236556,4508.2629462365585,354.5817142951477,2482.072000066034,"4752.63 - 6142.59",49
10,3638.725215258241,3638.725215258241,2791.1476885761253,2791.147688576125,277.0806751109355,2351.1074916802695,"3095.65 - 4181.8",72,,,,,,,,,,,,,,,,,2860.917739643941,2860.9177396439413,2569.232219584569,2569.2322195845695,159.8900166282152,1185.77609941987,"2547.53 - 3174.3",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3579.1789713737094,3301.8794581024417,2754.248534317253,2631.2038136200717,174.49889822641785,1966.502711984828,"3237.16 - 3921.2",127
12,2725.50235817804,2725.50235817804,2313.0832913385825,2313.0832913385825,154.9107732684251,1248.93058207828,"2421.88 - 3029.13",65,,,,,,,,,2358.629272149129,2358.629272149129,2244.3634229231375,2244.3634229231366,106.53762872791616,865.5157873244383,"2149.82 - 2567.44",66,2569.8892929543963,2569.8892929543963,2237.169161128418,2237.169161128418,147.26365504765693,1041.3112910651475,"2281.25 - 2858.53",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585.6729136701238,2548.7383971885906,2274.06934612898,2270.079076433121,79.53448101300224,1070.0270063280543,"2429.79 - 2741.56",181
15,,,,,,,,,,,,,,,,,,,,,,,,,2119.4075554474234,2119.407555447423,1921.9430833333333,1921.9430833333333,149.92223360837937,1005.7089170608197,"1825.56 - 2413.26",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119.4075554474234,2119.407555447423,1921.9430833333333,1921.9430833333333,149.92223360837937,1005.7089170608197,"1825.56 - 2413.26",45
18,,,,,,,,,,,,,,,,,1808.763026634204,1808.763026634204,1648.6094716327175,1648.6094716327175,72.33246862527896,479.79931718040876,"1666.99 - 1950.53",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808.763026634204,1808.763026634204,1648.6094716327175,1648.6094716327175,72.33246862527896,479.79931718040876,"1666.99 - 1950.53",44
20,2392.5536346010545,2392.5536346010545,1890.3760000000002,1890.376,227.77820406078123,1719.6877286222139,"1946.11 - 2839",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392.5536346010545,2392.5536346010545,1890.3760000000002,1890.376,227.77820406078123,1719.6877286222139,"1946.11 - 2839",57
