"Consistent speed Download 80/80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
1.5,0.86061152,0.5737410133333333,1.1429824,1.8441903999999998,0.26991431851760317,0.26991431851760317,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86061152,0.5737410133333333,1.1429824,1.8441903999999998,0.26991431851760317,0.26991431851760317,65
3,1.9780864,0.6593621333333334,2.568656,4.056848,0.7908498271208876,0.7908498271208876,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9780864,0.6593621333333334,2.568656,4.056848,0.7908498271208876,0.7908498271208876,50
5,,,,,,,,2.3377756800000005,0.4675551360000001,3.7685999999999997,4.767448,1.162201596016863,1.162201596016863,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3377756800000005,0.4675551360000001,3.7685999999999997,4.767448,1.162201596016863,1.162201596016863,49
10,7.637643199999999,0.7637643199999999,8.7626688,8.641072000000001,1.6250905654962906,1.6250905654962906,71,,,,,,,,,,,,,,,8.07372384,0.8073723839999998,9.213168,9.111243199999999,2.0239636526047238,2.0239636526047238,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6652591999999995,0.76652592,9.081307199999998,9.111243199999999,1.808897012442832,1.808897012442832,126
12,9.07533408,0.7562778399999999,11.585936,12.9086496,3.042800262657342,3.042800262657342,65,,,,,,,,9.037704,0.753142,11.0764424,14.9000032,2.949835706432823,2.949835706432823,66,10.7081008,0.8923417333333332,12.1426912,13.995496,1.6882927619249433,1.6882927619249433,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4035248,0.7836270666666666,11.489057599999999,12.9086496,2.697145938914293,2.697145938914293,181
15,,,,,,,,,,,,,,,,,,,,,,13.55895616,0.9039304106666667,15.7945472,17.5308624,2.0221371977174853,2.0221371977174853,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55895616,0.9039304106666667,15.7945472,17.5308624,2.0221371977174853,2.0221371977174853,45
18,,,,,,,,,,,,,,,14.87567456,0.8264263644444445,16.725628800000003,22.648464,3.0083764204908485,3.0083764204908485,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87567456,0.8264263644444445,16.725628800000003,22.648464,3.0083764204908485,3.0083764204908485,44
20,15.883451200000001,0.79417256,18.4306336,19.8830512,3.0540488221665334,3.0540488221665334,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.883451200000001,0.79417256,18.4306336,19.8830512,3.0540488221665334,3.0540488221665334,57
