"Consistent speed Upload 70/70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
0.512,0.23895919999999998,0.4667171874999999,0.35857839999999996,0.118544,0.15190346532134977,0.15190346532134977,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23895919999999998,0.4667171874999999,0.35857839999999996,0.118544,0.15190346532134977,0.15190346532134977,50
0.768,0.6045833599999999,0.7872179166666666,0.6581431999999999,0.86112,0.095077620521471,0.095077620521471,53,0.53709824,0.6993466666666666,0.551188,0.573728,0.09664804627830474,0.09664804627830474,49,,,,,,,,0.5865724800000001,0.76376625,0.6135456,0.5907263999999999,0.1357369012020477,0.1357369012020477,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55862016,0.7273700000000001,0.60144,0.5907263999999999,0.12200692718117132,0.12200692718117132,167
0.896,0.6542731999999999,0.7302156249999999,0.6834856,0.7862239999999999,0.10620664411663075,0.10620664411663075,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6542731999999999,0.7302156249999999,0.6834856,0.7862239999999999,0.10620664411663075,0.10620664411663075,132
1,,,,,,,,,,,,,,,0.7285448,0.7285448,0.8964451999999999,1.0774191999999998,0.36076015947589923,0.36076015947589923,130,0.8743444799999999,0.8743444799999999,0.9515159999999999,1.10948,0.11042628643762548,0.11042628643762548,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8422886399999999,0.8422886399999999,0.925576,1.10948,0.2959530188131522,0.2959530188131522,203
1.5,,,,,,,,,,,,,,,,,,,,,,1.3137955199999998,0.8758636799999999,1.3488704,1.6997352,0.2532106897784913,0.2532106897784913,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3137955199999998,0.8758636799999999,1.3488704,1.6997352,0.2532106897784913,0.2532106897784913,127
2,1.6059101599999996,0.8029550799999998,1.7835815999999998,2.231624,0.328092445506127,0.328092445506127,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6059101599999996,0.8029550799999998,1.7835815999999998,2.231624,0.328092445506127,0.328092445506127,122
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8601657599999997,0.9533885866666666,2.8748471999999996,2.8601216,0.07824768637434334,0.07824768637434334,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8601657599999997,0.9533885866666666,2.8748471999999996,2.8601216,0.07824768637434334,0.07824768637434334,58
5,4.3801261600000005,0.8760252319999999,4.88437,5.063991999999999,1.148378138596967,1.148378138596967,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78023424,1.156046848,5.813906399999999,5.840832,0.38201690213649814,0.38201690213649814,183,,,,,,,,5.6310036,1.12620072,5.6917184,5.838136,1.4666297855854544,1.4666297855854544,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.654584,1.1309168,5.785696,5.840832,0.9977663546515566,0.9977663546515566,281
